description,date_announced,country,type,compliance,
"On 2 April 2020, the Australian Government announced that from 6 April 2020, the ""Government will pay 50 per cent of the sector ""s fee revenue up to the existing hourly rate cap based on a point in time before parents started withdrawing their children in large numbers, but only so long as services remain open and do not charge families for care.""

The plan provides funding certainty to early childhood education and care services at a time where enrolments and attendance are highly unpredictable.

Until the payments arrive, the Government is allowing services to waive gap fees for families who keep their children home, and families will be able to use the 20 extra absence days the government has funded for coronavirus related reasons without giving up their place in a child care centre.",4/2/20,Australia,Closure and Regulation of Schools,Mandatory,
"On the 18 March 2020, the Australian Governor-General ""declared that a human biosecurity emergency exists. The declaration gives the Minister for Health expansive powers to issue directions and set requirements in order to combat the outbreak. This is the first time these powers under the Biosecurity Act have been used.""",3/18/20,Australia,Declaration of Emergency,Mandatory,
"28 January 2020 the Australian Department of Foreign Affairs and Trade website ""Smartraveller"" updated its travel advice for Australian travellers to Hubei Province from ""reconsider your need to travel"" to ""do not travel"".",1/28/20,Australia,External Border Restrictions,Voluntary,
"1 February 2020, Australian Prime Minister announces that ""foreign nationals (excluding permanent residents) who are in mainland China... will not be allowed to enter Australia for 14 days from the time they have left or transited through mainland China.""""Australian citizens and permanent residents will still be able to enter, as will their immediate family members (spouses, legal guardians or dependants only).""",2/1/20,Australia,External Border Restrictions,Mandatory,
"As of 1 March 2020, the Australian Department of Foreign Affairs and Trade will raise the level of the travel advisory for Iran from level 3 to level 4  "" do not travel. Foreign nationals (excluding permanent residents of Australia) who are in Iran on or after 1 March 2020, will not be allowed to enter Australia for 14 days, from the time they have left or transited through Iran",2/29/20,Australia,External Border Restrictions,Mandatory,
"The Australian National Security Committee of Cabinet has announced that as of 5 March 2020, foreign nationals (excluding permanent residents of Australia) who are in the Republic of Korea on or after today will not be allowed to enter Australia for 14 days from the time they have left or transited through the Republic of Korea;
",3/5/20,Australia,External Border Restrictions,Mandatory,
"On 16 March 2020, the Australian Government banned cruise ships from foreign ports (including round trip international cruises originating in Australia) from arriving at Australian ports for an initial 30 days",3/16/20,Australia,External Border Restrictions,Mandatory,
"On 18 March 2020, the Australian Health Minister exercised his biosecurity emergency powers and banned international cruise ships from entering Australian ports before 15 April 2020.",3/18/20,Australia,External Border Restrictions,Mandatory,
"On 19 March 2020, the Australian Government announced that borders would be closed to all non-citizens and non-residents from 20 March 2020, 9pm AEDT. New Zealand citizens who live in Australia as Australian residents are also exempt, as are New Zealanders transiting to New Zealand. Exemptions for Pacific Islanders transiting to their home countries will continue to apply.",3/19/20,Australia,External Border Restrictions,Mandatory,
"On 25 March 2020, the Australian Health Minister has determined that an Australian citizen or permanent resident must not travel outside of Australia (by air or sea or the operator of an outgoing aircraft or vessel), unless an exemption is granted to them. The Determination commences at 12.00pm on 25 March 2020 and is in force for an initial period of 4 weeks. A further revision of this arrangement can occur towards the end of the period to assess whether it continues to be necessary.",3/24/20,Australia,External Border Restrictions,Mandatory,
"On 3 April 2020, the Australian Government Department of Home Affairs  introduced new measures for Subclass 403 visa holders in the Seasonal Worker Program working in critical sectors in response to COVID-19. The Subclass 403 visa cannot be extended, but if the foreign worker's visa is about to expire, has already expired, the worker cannot leave Australia or is working in a critical sector (like health, aged care, or agriculture), the worker may be eligible for the ""COVID-19 pandemic Temporary Activity Visa (subclass 408) Australian Government Endorsed Agreement Event (AGEE) stream visa"".

Normally for the Subclass 403 visa, workers may only work for one Sponsor/Approved Employer, but during the COVID-19 period, changing Sponsors/Approved Employers will be possible.",4/3/20,Australia,External Border Restrictions,Voluntary,
