location,date,total_cases
Aruba,3/13/20,2
Aruba,3/19/20,
Aruba,3/20/20,4
Aruba,3/21/20,
Aruba,3/22/20,
Aruba,3/23/20,
Aruba,3/24/20,12
Aruba,3/25/20,17
Aruba,3/26/20,19
Aruba,3/27/20,28
Aruba,3/28/20,28
Aruba,3/29/20,28
Aruba,3/30/20,50
Aruba,3/31/20,
Aruba,4/1/20,55
Aruba,4/2/20,55
Aruba,4/3/20,60
Aruba,4/4/20,62
Aruba,4/5/20,64
Aruba,4/6/20,64
Aruba,4/7/20,71
Aruba,4/8/20,74
Aruba,4/9/20,77
Aruba,4/10/20,82
Aruba,4/11/20,86
Aruba,4/12/20,92
Aruba,4/13/20,92
Aruba,4/14/20,92
Aruba,4/15/20,92
Aruba,4/16/20,93
Aruba,4/17/20,95
Aruba,4/18/20,96
Aruba,4/19/20,96
Aruba,4/20/20,97
Aruba,4/21/20,97
Aruba,4/22/20,97
Aruba,4/23/20,100
Aruba,4/24/20,100
Aruba,4/25/20,100
Aruba,4/26/20,100
Aruba,4/27/20,100
Aruba,4/28/20,100
Aruba,4/29/20,100
Aruba,4/30/20,100
Aruba,5/1/20,100
Aruba,5/2/20,100
Aruba,5/3/20,100
Aruba,5/4/20,100
Aruba,5/5/20,100
Aruba,5/6/20,100
Aruba,5/7/20,101
Aruba,5/8/20,101
Aruba,5/9/20,101
Aruba,5/10/20,101
Aruba,5/11/20,101
Aruba,5/12/20,101
Aruba,5/13/20,101
Aruba,5/14/20,101
Aruba,5/15/20,101
Aruba,5/16/20,101
Aruba,5/17/20,101
Aruba,5/18/20,101
Aruba,5/19/20,101
Aruba,5/20/20,101
Aruba,5/21/20,101
Aruba,5/22/20,101
Aruba,5/23/20,101
Aruba,5/24/20,101
Aruba,5/25/20,101
Aruba,5/26/20,101
Aruba,5/27/20,101
Aruba,5/28/20,101
Aruba,5/29/20,101
Aruba,5/30/20,101
Aruba,5/31/20,101
Aruba,6/1/20,101
Aruba,6/2/20,101
Aruba,6/3/20,101
Aruba,6/4/20,101
Aruba,6/5/20,101
Aruba,6/6/20,101
Aruba,6/7/20,101
Aruba,6/8/20,101
Aruba,6/9/20,101
Aruba,6/10/20,101
Aruba,6/11/20,101
Aruba,6/12/20,101
Aruba,6/13/20,101
Aruba,6/14/20,101
Aruba,6/15/20,101
Aruba,6/16/20,101
Aruba,6/17/20,101
Aruba,6/18/20,101
Aruba,6/19/20,101
Aruba,6/20/20,101
Aruba,6/21/20,101
Aruba,6/22/20,101
Aruba,6/23/20,101
Aruba,6/24/20,101
Aruba,6/25/20,101
Aruba,6/26/20,101
Aruba,6/27/20,101
Aruba,6/28/20,101
Aruba,6/29/20,101
Aruba,6/30/20,103
Aruba,7/1/20,103
Aruba,7/2/20,103
Aruba,7/3/20,104
Aruba,7/4/20,104
Aruba,7/5/20,105
Aruba,7/6/20,105
Aruba,7/7/20,105
Aruba,7/8/20,105
Aruba,7/9/20,105
