country,cause,DALYs,pct_of_total_DALYs,DALYs_per_100K
Philippines,HIV/AIDS and sexually transmitted infections,404932.5213,0.012469827,391.3502443
Armenia,Neglected tropical diseases and malaria,1241.42999,0.001353845,41.0087573
South Africa,Mental disorders,879409.3983,0.036497833,1600.297789
South Africa,Unintentional injuries,568881.3646,0.023678642,1035.217035
South Africa,Self-harm and interpersonal violence,1185416.912,0.049419735,2157.152364
Argentina,Substance use disorders,222921.5848,0.018764383,503.5965347
Argentina,Diabetes and kidney diseases,654377.9324,0.055151889,1478.288697
Chile,Neoplasms,633510.2492,0.144274572,3535.561692
Haiti,Cardiovascular diseases,625338.984,0.121294468,5288.352605
Haiti,Chronic respiratory diseases,141443.8172,0.027424356,1196.158881
Sri Lanka,Nutritional deficiencies,74035.43342,0.014244445,342.8131767
Chile,Chronic respiratory diseases,160641.7382,0.036511228,896.5265777
Mexico,Mental disorders,1803545.98,0.056188939,1424.942696
Mexico,Transport injuries,1126288.033,0.035299522,889.8558307
Macedonia,Digestive diseases,20067.0732,0.029907979,922.6968927
Macedonia,Neurological disorders,37493.90925,0.055839909,1723.993988
Macedonia,Sense organ diseases,21778.92443,0.032302228,1001.40891
Haiti,Neoplasms,297967.7042,0.057816052,2519.846555
Haiti,Mental disorders,175517.4721,0.033988059,1484.312196
Philippines,Self-harm and interpersonal violence,1234963.521,0.03797224,1193.540282
Macedonia,Mental disorders,31443.61745,0.046726999,1445.797692
Armenia,Neoplasms,135033.1539,0.148580745,4460.615483
Germany,Substance use disorders,534503.4617,0.020811773,641.7030044
Germany,Diabetes and kidney diseases,1122910.478,0.043679687,1348.120413
Lebanon,Skin and subcutaneous diseases,46343.94152,0.025651185,544.4555104
Lebanon,HIV/AIDS and sexually transmitted infections,8197.845699,0.004572784,96.30950924
Lebanon,Respiratory infections and tuberculosis,27584.52739,0.015349409,324.067126
Lebanon,Enteric infections,20140.32517,0.011168876,236.6115324
Lebanon,Other infectious diseases,12413.5571,0.006914927,145.8363131
Lebanon,Maternal and neonatal disorders,83526.98095,0.046560643,981.287382
Mexico,Self-harm and interpersonal violence,2739999.854,0.085925798,2164.814662
Armenia,Chronic respiratory diseases,33705.65203,0.037028706,1113.415106
Armenia,Digestive diseases,44554.16015,0.048942857,1471.779122
Ethiopia,Nutritional deficiencies,1902216.73,0.050190621,1848.895719
Ethiopia,Neurological disorders,979219.3417,0.025863733,951.7708576
India,Neglected tropical diseases and malaria,6818841.285,0.014176341,493.9183746
India,Cardiovascular diseases,65117829.91,0.135673762,4716.76805
Germany,Unintentional injuries,1136397.259,0.044128225,1364.31209
Brunei,Neglected tropical diseases and malaria,212.9455807,0.002196071,49.24158157
Brunei,Cardiovascular diseases,13330.96305,0.13827661,3082.654743
Philippines,Transport injuries,744679.8431,0.022884201,719.7017359
Philippines,Unintentional injuries,999042.9171,0.030714522,965.5329447
Brunei,Digestive diseases,2237.397785,0.023164352,517.3763418
Bhutan,Substance use disorders,4766.829864,0.020496187,497.8879083
Bhutan,Diabetes and kidney diseases,10401.37513,0.044793269,1086.40733
Lebanon,Unintentional injuries,61945.93157,0.03445255,727.7500075
Mauritania,Unintentional injuries,44077.93795,0.035773497,1126.18348
Ethiopia,Neoplasms,1464153.299,0.038756055,1423.111638
Macedonia,Transport injuries,13035.23936,0.019433615,599.3686637
Macedonia,Unintentional injuries,41872.84542,0.062195766,1925.340281
South Africa,Chronic respiratory diseases,769705.1172,0.032063831,1400.664354
South Africa,Musculoskeletal disorders,692066.1579,0.028712688,1259.381517
South Africa,Other non-communicable diseases,730926.6751,0.030385391,1330.097613
Armenia,Skin and subcutaneous diseases,13595.63574,0.014835918,449.1112111
Armenia,Sense organ diseases,31753.66906,0.034638014,1048.934308
Macedonia,Self-harm and interpersonal violence,9989.602126,0.014935514,459.328311
Chile,Digestive diseases,223906.0528,0.050903786,1249.598825
Libya,Nutritional deficiencies,14801.58872,0.007717393,214.2444128
Libya,Neurological disorders,103316.4926,0.054016544,1495.446314
Greece,Nutritional deficiencies,11002.52479,0.00345669,105.7699277
Mauritania,Self-harm and interpersonal violence,16309.31357,0.01326095,416.700063
Greece,Cardiovascular diseases,698110.7762,0.221208265,6711.107473
Haiti,Skin and subcutaneous diseases,77275.2561,0.01494623,653.4996415
eSwatini,Neglected tropical diseases and malaria,2583.582854,0.004477607,229.7670899
Sri Lanka,Mental disorders,326956.6089,0.063125116,1513.937699
Lebanon,Substance use disorders,99346.3531,0.055222513,1167.135716
Lebanon,Diabetes and kidney diseases,107997.898,0.059998463,1268.775351
Libya,Neoplasms,174082.0562,0.091404987,2519.736808
Haiti,Digestive diseases,149502.0495,0.028982445,1264.305558
Haiti,Neurological disorders,151517.5128,0.029362894,1281.349883
Ethiopia,Chronic respiratory diseases,588164.8557,0.01554941,571.6780146
Mexico,Unintentional injuries,1250664.268,0.03913281,988.1228059
Ethiopia,Mental disorders,1385133.511,0.036526682,1346.306852
Ethiopia,Transport injuries,610040.1551,0.016141024,592.9401277
Sri Lanka,Self-harm and interpersonal violence,276957.3709,0.053672777,1282.421561
Greece,Neglected tropical diseases and malaria,318.3986174,0.000100322,3.060842796
Armenia,Substance use disorders,13420.60802,0.014695305,443.3294357
Armenia,Diabetes and kidney diseases,63791.79306,0.069895489,2107.265154
Haiti,Self-harm and interpersonal violence,172232.9119,0.033389128,1456.535402
Sri Lanka,Digestive diseases,170958.6781,0.033093776,791.6059219
Sri Lanka,Neurological disorders,301123.6099,0.058211007,1394.320753
South Africa,Skin and subcutaneous diseases,349724.2607,0.014508511,636.4077551
South Africa,HIV/AIDS and sexually transmitted infections,7507141.07,0.312530898,13661.05624
South Africa,Respiratory infections and tuberculosis,1780839.967,0.07422409,3240.668415
South Africa,Enteric infections,743502.3778,0.030977453,1352.982141
South Africa,Other infectious diseases,341821.4746,0.014245848,622.0267272
South Africa,Maternal and neonatal disorders,1174102.162,0.048920907,2136.562444
Sri Lanka,Neglected tropical diseases and malaria,28364.67998,0.005484251,131.3396248
Lebanon,Self-harm and interpersonal violence,87514.57748,0.048868019,1028.134258
Libya,Neglected tropical diseases and malaria,11246.57167,0.005874096,162.7876027
Chile,Neurological disorders,272873.9252,0.061867322,1522.88396
Chile,Sense organ diseases,140374.7265,0.031681782,783.4182733
Haiti,Sense organ diseases,64999.14421,0.012570006,549.6832956
Haiti,Maternal and neonatal disorders,512385.6215,0.099346031,4333.131159
Haiti,Substance use disorders,50915.55574,0.009870234,430.5815226
Haiti,Diabetes and kidney diseases,244311.0932,0.047348265,2066.084538
Lebanon,Transport injuries,39917.01243,0.022254513,468.9509925
Brunei,Neurological disorders,4774.411805,0.049314772,1104.036006
Brunei,Mental disorders,6640.481302,0.068446202,1535.546315
Libya,Mental disorders,124711.8895,0.065114278,1805.132276
Libya,Unintentional injuries,73265.42533,0.038386914,1060.474543
India,Digestive diseases,15479297.08,0.032230525,1121.23291
Haiti,Transport injuries,269939.4853,0.052336347,2282.818147
Brunei,Chronic respiratory diseases,3178.443067,0.032917572,734.9838538
Nicaragua,Nutritional deficiencies,19154.74587,0.014815001,299.453397
Ethiopia,Unintentional injuries,1329647.822,0.035144024,1292.376481
Montenegro,Neglected tropical diseases and malaria,215.9306111,0.001069168,34.47619767
Montenegro,Cardiovascular diseases,63290.47215,0.31489301,10105.16674
Greece,Musculoskeletal disorders,326339.3018,0.102602204,3137.178513
Greece,Other non-communicable diseases,117850.2449,0.037112798,1132.922863
Armenia,Self-harm and interpersonal violence,17938.13039,0.019723444,592.5589372
Niger,Neglected tropical diseases and malaria,2438700.88,0.18588425,11408.6221
Montenegro,Digestive diseases,6136.132311,0.030444159,979.71524
Montenegro,Neurological disorders,11581.76334,0.057429377,1849.182755
Greece,Neurological disorders,285736.705,0.09022855,2746.855945
Greece,Mental disorders,217346.7239,0.068402326,2089.406543
Greece,Chronic respiratory diseases,154012.1839,0.04874618,1480.556315
Ethiopia,Digestive diseases,1141664.133,0.030196588,1109.662161
Ethiopia,Skin and subcutaneous diseases,721408.8872,0.018998902,701.1870844
Mauritania,Sense organ diseases,32644.85706,0.026422568,834.0702957
Mauritania,Substance use disorders,11105.10259,0.009022471,283.7333973
Mauritania,Diabetes and kidney diseases,42042.70427,0.034150343,1074.183622
Libya,Chronic respiratory diseases,61989.43161,0.032494085,897.261073
Ethiopia,Self-harm and interpersonal violence,905853.8908,0.023970562,880.4619126
India,Chronic respiratory diseases,33756760.77,0.070321961,2445.149214
India,Skin and subcutaneous diseases,6912656.769,0.0143153,500.7138388
Nicaragua,Neurological disorders,77139.96522,0.059730875,1205.958293
Nicaragua,Mental disorders,87040.81759,0.067316024,1360.742068
Niger,Nutritional deficiencies,509788.7107,0.038879335,2384.870895
Kenya,Neglected tropical diseases and malaria,410078.0119,0.022960026,848.5523832
South Africa,Substance use disorders,290008.8789,0.012053622,527.7411959
South Africa,Diabetes and kidney diseases,1135964.115,0.04726319,2067.161056
eSwatini,Neoplasms,25740.99165,0.044636394,2289.236722
Chile,Transport injuries,122666.6375,0.027895135,684.5910781
Sri Lanka,Cardiovascular diseases,888826.0517,0.172223846,4115.614217
Sri Lanka,Chronic respiratory diseases,320558.6912,0.062119256,1484.312824
Sri Lanka,Other non-communicable diseases,239206.5289,0.046218499,1107.620315
Montenegro,Chronic respiratory diseases,4804.114096,0.02385721,767.0407931
Montenegro,Other non-communicable diseases,6069.965435,0.030002867,969.1508171
Sri Lanka,Sense organ diseases,219251.3556,0.042215536,1015.220013
Sri Lanka,Transport injuries,157048.3171,0.030393632,727.1954789
Nicaragua,Neglected tropical diseases and malaria,9107.235728,0.007041757,142.3768655
