"country","DALYs.HIV/AIDS_and_sexually_transmitted_infections","pct_of_total_DALYs.HIV/AIDS_and_sexually_transmitted_infections","DALYs_per_100K.HIV/AIDS_and_sexually_transmitted_infections","DALYs.Neglected_tropical_diseases_and_malaria","pct_of_total_DALYs.Neglected_tropical_diseases_and_malaria","DALYs_per_100K.Neglected_tropical_diseases_and_malaria","DALYs.Mental_disorders","pct_of_total_DALYs.Mental_disorders","DALYs_per_100K.Mental_disorders","DALYs.Unintentional_injuries","pct_of_total_DALYs.Unintentional_injuries","DALYs_per_100K.Unintentional_injuries","DALYs.Self-harm_and_interpersonal_violence","pct_of_total_DALYs.Self-harm_and_interpersonal_violence","DALYs_per_100K.Self-harm_and_interpersonal_violence","DALYs.Substance_use_disorders","pct_of_total_DALYs.Substance_use_disorders","DALYs_per_100K.Substance_use_disorders","DALYs.Diabetes_and_kidney_diseases","pct_of_total_DALYs.Diabetes_and_kidney_diseases","DALYs_per_100K.Diabetes_and_kidney_diseases","DALYs.Neoplasms","pct_of_total_DALYs.Neoplasms","DALYs_per_100K.Neoplasms","DALYs.Cardiovascular_diseases","pct_of_total_DALYs.Cardiovascular_diseases","DALYs_per_100K.Cardiovascular_diseases","DALYs.Chronic_respiratory_diseases","pct_of_total_DALYs.Chronic_respiratory_diseases","DALYs_per_100K.Chronic_respiratory_diseases","DALYs.Nutritional_deficiencies","pct_of_total_DALYs.Nutritional_deficiencies","DALYs_per_100K.Nutritional_deficiencies","DALYs.Transport_injuries","pct_of_total_DALYs.Transport_injuries","DALYs_per_100K.Transport_injuries","DALYs.Digestive_diseases","pct_of_total_DALYs.Digestive_diseases","DALYs_per_100K.Digestive_diseases","DALYs.Neurological_disorders","pct_of_total_DALYs.Neurological_disorders","DALYs_per_100K.Neurological_disorders","DALYs.Sense_organ_diseases","pct_of_total_DALYs.Sense_organ_diseases","DALYs_per_100K.Sense_organ_diseases","DALYs.Skin_and_subcutaneous_diseases","pct_of_total_DALYs.Skin_and_subcutaneous_diseases","DALYs_per_100K.Skin_and_subcutaneous_diseases","DALYs.Respiratory_infections_and_tuberculosis","pct_of_total_DALYs.Respiratory_infections_and_tuberculosis","DALYs_per_100K.Respiratory_infections_and_tuberculosis","DALYs.Enteric_infections","pct_of_total_DALYs.Enteric_infections","DALYs_per_100K.Enteric_infections","DALYs.Other_infectious_diseases","pct_of_total_DALYs.Other_infectious_diseases","DALYs_per_100K.Other_infectious_diseases","DALYs.Maternal_and_neonatal_disorders","pct_of_total_DALYs.Maternal_and_neonatal_disorders","DALYs_per_100K.Maternal_and_neonatal_disorders","DALYs.Musculoskeletal_disorders","pct_of_total_DALYs.Musculoskeletal_disorders","DALYs_per_100K.Musculoskeletal_disorders","DALYs.Other_non-communicable_diseases","pct_of_total_DALYs.Other_non-communicable_diseases","DALYs_per_100K.Other_non-communicable_diseases"
"Philippines",404932.521280775,0.0124698267970807,391.350244304003,387752.872071821,0.0119076886422552,374.746836176356,1289062.80949604,0.0395284187493471,1245.82496813014,999042.917089889,0.0307145224283134,965.532944690836,1234963.52119501,0.037972240329418,1193.54028221181,318847.469611672,0.00978700364945497,308.152663889694,2357495.99980259,0.0724206919710611,2278.4206922929,2462112.15426613,0.0757285588852797,2379.52780386289,5675418.76404352,0.174537629743446,5485.05344251143,1646388.9447822,0.0506242190756028,1591.16564340646,451158.042296872,0.0138302843409306,436.025265429771,744679.843052424,0.0228842007741707,719.701735946168,946396.797756097,0.029089384221667,914.652685437341,1163214.90875557,0.0356972972373201,1124.19826710807,886918.235821533,0.0271625478703557,857.169157884852,752839.042222955,0.0230632188641787,727.587258646622,3545236.79809732,0.109000292063511,3426.32219971509,568718.689131838,0.0174750692336364,549.642684237927,524937.895102958,0.0161381199535345,507.330388883548,2573650.66801937,0.0791967682865892,2487.32508442848,1785301.62308912,0.0547278305450925,1725.41890224669,1824729.32640575,0.0560441863377535,1763.52411858373
"Armenia",2157.50134134946,0.00236614918619558,71.2697853141819,1241.42999021685,0.00135384533958476,41.0087573016302,41969.8779502081,0.0458808700267307,1386.41127764159,45415.7932242393,0.0497097271523398,1500.24186355328,17938.1303902283,0.0197234443208264,592.558937205454,13420.608016594,0.0146953053173295,443.32943567497,63791.793063865,0.069895489161842,2107.2651540623,135033.153898991,0.148580744964409,4460.61548339923,235342.449479215,0.258853204941824,7774.18096027992,33705.6520343829,0.037028706400174,1113.41510585689,10971.5008825129,0.0119604183464065,362.426895170304,15174.8984791221,0.0166619813549838,501.279761010523,44554.1601526063,0.0489428569033271,1471.77912155726,50564.4635146928,0.0553986123335711,1670.32037948348,31753.6690606537,0.0346380144062987,1048.93430818211,13595.6357400702,0.0148359182800538,449.11121111914,20320.7062288448,0.0223324994187552,671.263717248254,3908.1043715259,0.0042710857965199,129.098301913386,2888.984064594,0.0031659773067257,95.4332079028624,22363.83436902,0.0245874677917363,738.755357289862,56251.1035599908,0.0614341337202021,1858.16991052197,49030.4930778457,0.0536835475301646,1619.64799211707
"South Africa",7507141.07015755,0.312530897836433,13661.0562449642,104401.044879817,0.00433309684841946,189.982915307903,879409.398332107,0.0364978331957486,1600.29778855787,568881.364576691,0.0236786417506624,1035.21703476275,1185416.91176489,0.0494197350362126,2157.15236386415,290008.878919501,0.0120536219121912,527.741195940411,1135964.1148085,0.0472631898312145,2067.16105633729,1271304.23979091,0.0529960396842643,2313.44510006398,1679421.17578869,0.0699907294024875,3056.11243042109,769705.117216866,0.0320638306332544,1400.66435412219,304088.623124903,0.0126320934784711,553.362690955247,879656.729811896,0.0366608812988791,1600.74786791897,446746.310553293,0.0185984746495064,812.962806834626,707366.078000939,0.0293919933652511,1287.22341661654,480212.501945725,0.0199140539659398,873.862624574053,349724.260711981,0.0145085105548408,636.40775511824,1780839.96711856,0.0742240895921549,3240.66841514359,743502.377779669,0.0309774534399279,1352.98214142918,341821.474607421,0.0142458477950277,622.02672717999,1174102.16187168,0.0489209070092497,2136.56244378081,692066.157939312,0.0287126881312082,1259.38151694368,730926.675107906,0.0303853905886555,1330.09761322951
"Argentina",135731.908117625,0.0114711568282914,306.62853326376,28946.3945461663,0.00243778858442143,65.3920704870172,829965.413542581,0.0697437306967884,1874.95395109063,602159.6298013,0.0507208631554255,1360.32364561333,411155.475776504,0.0347394829530552,928.830974448977,222921.584808373,0.0187643832837819,503.596534746928,654377.932432263,0.0551518887221202,1478.28869721623,1658000.01961565,0.140189870179612,3745.5460636821,1874055.64771105,0.158387277327996,4233.63188863684,490414.578121551,0.0414175376639284,1107.88321527361,105437.918338887,0.00885876009216256,238.192144345452,372276.157826181,0.0314368851017457,840.999687003494,428946.981787767,0.0362010305249404,969.023317343467,577413.195688242,0.0486567311546,1304.4195999042,314856.048774732,0.026424037036467,711.28336559856,275013.585786121,0.0230975895582086,621.276261467774,574192.570604441,0.0485337718615199,1297.14396693525,84019.1305382425,0.007062325394693,189.805500565952,60523.851301706,0.00511310111569279,136.727907309999,483148.659378686,0.0408774394644339,1091.46896133851,1089538.74553441,0.0914972015016069,2461.34952429709,583883.97724935,0.0492171477985085,1319.03757946898
"Chile",32924.7566098388,0.00748699227017444,183.749999865366,11794.5360768484,0.00266931720871953,65.8242072436556,358639.818678887,0.0810631150947654,2001.53542256612,205206.639177325,0.0464921983558794,1145.23913929065,145099.091902064,0.0330238907813837,809.784516660688,107825.635287503,0.0244240535389936,601.764827128323,252535.209441215,0.0572553171854465,1409.37548151706,633510.249182506,0.144274571974471,3535.56169241986,546573.985849471,0.124379276124047,3050.37850443034,160641.738161164,0.0365112279294622,896.526577714027,32057.2162885687,0.00724523271797523,178.90833813934,122666.637500086,0.0278951352778427,684.591078112639,223906.052786209,0.0509037860766371,1249.59882488626,272873.925242419,0.0618673221823278,1522.88395995532,140374.726474943,0.0316817821937497,783.418273262611,115060.735591764,0.0259840863149773,642.143248013494,91252.9195348774,0.0207467218336939,509.274044177364,29650.4374712085,0.00670261291112591,165.476329738897,18119.849004185,0.00411900704939159,101.125189520293,127340.785708592,0.0289924163228369,710.677063891105,553731.993729965,0.125071792183704,3090.32667967924,225937.81809853,0.0512101444723947,1260.93791784568
"Haiti",263624.53346449,0.0511784297338295,2229.41400420014,46003.4954054326,0.00890078131549529,389.041321576556,175517.47205723,0.0339880587327605,1484.31219600016,331711.897224635,0.0642799804564878,2805.2136852127,172232.911905183,0.0333891276897771,1456.5354018438,50915.555741336,0.00987023378395879,430.581522552632,244311.093158622,0.0473482645334721,2066.08453815489,297967.704219712,0.0578160522468099,2519.84655546587,625338.983955223,0.121294467827601,5288.35260467081,141443.817239615,0.0274243564578304,1196.15888103221,163070.226439171,0.0315166290524954,1379.04861021043,269939.485345004,0.0523363472932965,2282.81814672531,149502.049489877,0.0289824448132799,1264.3055576398,151517.512833778,0.029362893870101,1281.34988255447,64999.1442087461,0.0125700064053623,549.683295616045,77275.2560953325,0.0149462300970625,653.499641528213,415840.131474723,0.0805120552924819,3516.66743771802,321869.464483423,0.0622736455205721,2721.97842216533,170089.321226377,0.0329081408917047,1438.40753257534,512385.621542869,0.0993460310459146,4333.13115894935,136533.905874264,0.0264204682386118,1154.6368534218,378766.701885787,0.0733353547010946,3203.14569517339
"Sri Lanka",8793.69908293325,0.00170142140472221,40.718285530244,28364.6799846834,0.00548425120174496,131.339624849328,326956.608885987,0.0631251162892321,1513.93769914846,208171.054017545,0.0403204908629298,963.913858852544,276957.370853994,0.053672776553293,1282.42156114091,76189.3419995993,0.0147302418480701,352.786620584052,515592.631868872,0.0997179490472011,2387.39668070651,420057.23140653,0.0814005811323485,1945.03020016346,888826.051747446,0.172223845872728,4115.61421654877,320558.691189523,0.062119255970162,1484.31282375681,74035.4334182826,0.0142444449791849,342.813176667792,157048.317056005,0.0303936321371403,727.195478901658,170958.678115613,0.0330937762380973,791.605921891817,301123.609932542,0.0582110066191704,1394.32075324565,219251.355579702,0.0422155356706517,1015.2200132381,134753.916191024,0.0259474919666371,623.96363396534,160212.027269365,0.0310177799152188,741.844701553879,55936.9784766062,0.0108301981455134,259.010211724214,49164.0299353427,0.00952168398422162,227.64879601236,167219.273986485,0.0324671378997401,774.291009975133,370028.877660249,0.0713428828742633,1713.37924494683,239206.528907218,0.0462184993877294,1107.62031460073
"Mexico",357811.057953728,0.0112100326875946,282.69878303031,217926.37461867,0.0067938273717287,172.178918245932,1803545.9801697,0.0561889393143097,1424.94269643035,1250664.26805926,0.0391328095783573,988.122805879207,2739999.85434612,0.0859257977420821,2164.81466156098,719137.374453879,0.0224601393989237,568.174895858066,4378040.10505334,0.136942805437063,3458.99485844433,2581521.82023084,0.0809452990995785,2039.60459220862,3280165.28058165,0.102779828298798,2591.58768949681,1026299.32969446,0.0321203774728884,810.856917582928,378151.06929601,0.0118020354171255,298.768986355411,1126288.03282784,0.0352995222296672,889.855830736252,1938937.31894858,0.060737899598003,1531.91246680168,1830404.12793839,0.0571374077881723,1446.16273846057,983969.057987689,0.0306071833679405,777.412684849368,643104.291835497,0.0200189426191127,508.102800688109,942645.306761151,0.0295230870741915,744.763682191936,320571.622907018,0.010021512805072,253.276710306659,177952.887261891,0.00557500712866168,140.596729886901,1699322.82208724,0.0532495467083145,1342.59823194681,1588612.81614173,0.0494728441000652,1255.12864917578,1985710.13326477,0.0620551547623498,1568.86665642821
"Macedonia",529.663408367303,0.000787491643984829,24.354263131463,508.108142793587,0.000755734080549605,23.3631381993687,31443.6174534621,0.0467269985682462,1445.79769183457,41872.8454172012,0.0621957662756343,1925.34028072109,9989.60212644006,0.0149355143247056,459.32831100394,8098.96653816594,0.0120471910651537,372.395674398986,41855.2539890244,0.062348465737603,1924.53141557408,108763.310792402,0.162712629497529,5001.00676815183,193726.482143982,0.289721681888941,8907.66786440983,22538.0511817648,0.0336452956064334,1036.31404450435,6394.15648601488,0.00947876239174727,294.007415094394,13035.2393574597,0.0194336151719613,599.368663717516,20067.0732030349,0.0299079787465376,922.696892676664,37493.9092495336,0.055839909269683,1723.99398800286,21778.924431965,0.0323022280006613,1001.40890980429,9960.18456824509,0.0147791261604083,457.975672815899,6773.3818983207,0.010107325223736,311.444442707652,1908.0924536507,0.00283535088452547,87.7353144681323,2140.74862182607,0.00319594034759858,98.4329942575798,20804.988290808,0.0311076933348561,956.626701556042,47543.7050084784,0.0705786836017412,2186.09004082491,23255.1792466471,0.0345566181777631,1069.28805274278
"Germany",38664.1028513897,0.00150496581416486,46.4185412109449,389.0344447739,1.5205490598147e-05,0.467058849823157,1685264.84779648,0.0653946082899172,2023.2600789801,1136397.25857759,0.0441282247985836,1364.3120902621,460815.862313753,0.0179929226703613,553.236685141376,534503.461685894,0.0208117731533755,641.703004438589,1122910.47795634,0.0436796868954706,1348.1204128171,4822294.47959704,0.188311203726843,5789.44960634051,4838016.05479548,0.188829669813167,5808.32428679164,1247634.20168245,0.0486632069492827,1497.85861654616,50980.7697415438,0.00197792352774707,61.2054279471917,358684.751056418,0.0139579569069618,430.622248307292,1080399.8705361,0.0421121739643131,1297.08391547424,2148269.11707525,0.0836344005925241,2579.12407605685,782466.118965964,0.0303167470147097,939.39683351748,568106.035914156,0.022032410979745,682.04488131088,418079.55152039,0.0163001047341887,501.929217555996,93235.4264168753,0.00362545810444076,111.934641289528,49147.0009469223,0.0019151113510417,59.003880100817,349781.564268379,0.0136558861263065,419.933446231171,2920694.60097248,0.113209814127315,3506.46653359377,976540.262941472,0.0379305449689437,1172.39431660229
