country,cause,deaths,pct_of_total_deaths,deaths_per_100K
Mongolia,Cardiovascular diseases,7769.977729,0.36634565,238.9714188
Ukraine,Neglected tropical diseases and malaria,27.64961719,4.01E-05,0.061871076
Mongolia,Neoplasms,4810.936605,0.22681999,147.9639179
Mongolia,Other non-communicable diseases,412.7008253,0.019462773,12.69291949
Mongolia,Skin and subcutaneous diseases,14.72795383,0.000694395,0.452969126
Grenada,Neoplasms,228.0558425,0.199830049,205.6806167
Paraguay,Cardiovascular diseases,9835.082368,0.3007945,141.8963231
Paraguay,Chronic respiratory diseases,1075.153578,0.032878543,15.51185173
Afghanistan,Transport injuries,8910.834268,0.039304717,27.12189187
Bangladesh,Neglected tropical diseases and malaria,5727.717958,0.006452362,3.648669509
Mongolia,Mental disorders,0.13539472,6.39E-06,0.004164165
Rwanda,Cardiovascular diseases,8125.475853,0.119176581,64.72330926
Rwanda,Unintentional injuries,2118.466468,0.031046315,16.87460068
Luxembourg,Musculoskeletal disorders,9.766692896,0.002211573,1.653839453
Afghanistan,Substance use disorders,471.8138774,0.00208209,1.436059137
Afghanistan,Diabetes and kidney diseases,9975.75953,0.044034901,30.36320317
Malaysia,Self-harm and interpersonal violence,2891.546603,0.017508788,9.437215596
Maldives,Neoplasms,162.6295553,0.141486983,35.46211187
Russia,HIV/AIDS and sexually transmitted infections,19490.55105,0.010623281,13.33235429
Russia,Respiratory infections and tuberculosis,46225.06543,0.025194566,31.61988328
Russia,Enteric infections,541.2879438,0.000295026,0.370263653
Rwanda,Self-harm and interpersonal violence,1152.050044,0.016887124,9.176630717
Dominican Rep.,HIV/AIDS and sexually transmitted infections,2852.979151,0.042616336,27.29666551
Dominican Rep.,Respiratory infections and tuberculosis,2870.818938,0.042813915,27.46735259
Dominican Rep.,Enteric infections,451.3205158,0.006733199,4.318133609
Dominican Rep.,Other infectious diseases,634.6099904,0.009461319,6.071806249
Dominican Rep.,Maternal and neonatal disorders,3376.440572,0.050369551,32.30502714
Dominican Rep.,Substance use disorders,284.1649896,0.004234152,2.718826973
Dominican Rep.,Diabetes and kidney diseases,4696.149142,0.070034151,44.93170315
Rwanda,Neurological disorders,1709.123232,0.02507262,13.61398563
Rwanda,Mental disorders,0.052841416,7.74E-07,0.000420907
Luxembourg,Transport injuries,40.29153579,0.0091202,6.822752822
Paraguay,Digestive diseases,1516.42429,0.046352435,21.87831509
Paraguay,Neurological disorders,1900.550291,0.058166454,27.42031923
Paraguay,Mental disorders,0.876742537,2.68E-05,0.012649263
Grenada,Neglected tropical diseases and malaria,0.527489778,0.00046203,0.475736213
Grenada,Neurological disorders,64.05831386,0.05611934,57.7733653
Bangladesh,Nutritional deficiencies,4961.691805,0.005595061,3.160695714
Luxembourg,Neurological disorders,540.6892297,0.122429979,91.55741761
Luxembourg,Mental disorders,0.374109349,8.47E-05,0.063349673
Maldives,Neglected tropical diseases and malaria,6.654651476,0.005788426,1.451076925
Paraguay,Skin and subcutaneous diseases,63.63493976,0.001945367,0.918097443
Dominican Rep.,Musculoskeletal disorders,97.95176486,0.001460931,0.937180547
Dominican Rep.,Other non-communicable diseases,1288.212499,0.01921094,12.32532866
Paraguay,Transport injuries,1527.160967,0.046648602,22.03321924
Paraguay,Unintentional injuries,988.6717635,0.030224265,14.26412945
