"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-04,6e-04
"Algeria",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,NA,NA
"Angola",0.016,0.017,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.021,0.021
"Argentina",0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004
"Armenia",6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"Australia",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"Austria",6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004
"Azerbaijan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001
"Bahamas",0.037,0.036,0.035,0.033,0.032,0.032,0.031,0.03,0.03,0.03,0.03,0.03,0.031,0.031,0.029,0.028
"Bangladesh",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Barbados",0.001,0.002,0.002,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.009,0.011,0.012,0.013,0.009,0.009
"Belarus",6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.004
"Belgium",0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
"Belize",0.015,0.016,0.018,0.019,0.02,0.022,0.022,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
"Benin",0.011,0.013,0.014,0.014,0.014,0.014,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.012,0.012
"Bhutan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003
"Bolivia",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
"Botswana",0.166,0.197,0.222,0.241,0.253,0.26,0.263,0.263,0.261,0.258,0.255,0.253,0.251,0.249,0.241,0.237
"Brazil",0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.0045,0.003,0.003
"Bulgaria",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001
