"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006"
"Afghanistan",NA,1600,1040,1450,NA,NA,1700,2820,2530,1090,981,1040
"Algeria",0.379,0.768,0.674,NA,2.33,1.77,1.41,0.977,NA,NA,NA,NA
"Angola",1270,NA,6900,8820,10800,11700,8730,12600,21400,15900,14500,13800
"Argentina",3.06,5.81,1.66,0.939,0.608,1.19,0.577,0.332,0.321,0.3,0.668,0.534
"Armenia",15.6,10.9,26.8,37.1,19.9,4.58,2.58,1.71,0.955,1.55,0.232,0
"Azerbaijan",36.5,167,125,64.5,28.6,18.7,12.9,6.15,5.83,4.65,2.9,1.7
"Bangladesh",121,78.2,52.1,44.8,46.6,43.3,254,212,333,143,124,232
"Belize",4400,3000,1770,1130,776,607,437,361,NA,392,572,294
"Benin",9330,9730,10200,9550,10100,9790,9620,10200,10300,10400,9460,9840
"Bhutan",4570,3080,1750,1460,2250,1060,1780,1220,666,486,306,307
"Bolivia",627,837,659,926,614,378,1450,1590,1790,1810,2200,2230
"Botswana",1120,4990,6220,3570,4270,4130,2750,1630,13200,1230,612,1020
"Brazil",350,277,236,279,355,351,220,194,225,252,323,290
"Burkina Faso",4880,5510,6190,6450,7530,8690,2880,9390,11000,11500,11600,14400
"Burundi",14900,15400,10500,10700,29600,45900,49200,37600,31000,23100,30100,26500
"Cambodia",675,640,734,480,516,489,846,756,888,670,480,628
"Cameroon",5580,6460,5330,4390,NA,NA,NA,NA,NA,NA,1560,3490
"Cape Verde",31.7,18.8,4.76,9.53,6.59,NA,3.25,0.423,1.24,0.808,1.38,1.35
"Central African Republic",2930,2690,2750,2850,3380,2320,3140,NA,1920,3140,3150,2680
"Chad",4110,3760,4500,5010,4810,4360,4720,5070,4900,4030,3930,3820
"China",3.86,2.71,2.15,2.16,2.12,1.46,2.09,13.3,13,11.1,7.58,8.75
"Colombia",489,349,456,460,163,258,487,455,377,264,263,264
"Comoros",2590,2480,NA,581,1440,NA,518,NA,NA,5650,3700,6700
"Congo, Dem. Rep.",NA,426,NA,292,3050,1900,4230,NA,7950,NA,NA,8260
"Congo, Rep.",1000,487,321,564,NA,NA,NA,NA,NA,NA,NA,4280
"Costa Rica",130,154,129,137,104,47.8,34,24.9,17.2,30.3,81.8,66
"Cote d'Ivoire",5040,7190,6200,NA,NA,8750,6860,6270,6320,6980,6890,6630
"Djibouti",958,951,650,862,866,640,577,658,648,271,322,942
"Dominican Republic",22.6,17.3,9.82,23.7,41.7,13.9,11.7,14.3,14.1,25.3,40.5,36.7
"Ecuador",159,103,139,365,722,801,874,687,408,222,131,74.7
"Egypt",0.531,0.0405,0.0175,0.0203,0.0934,0.0255,0.0162,0.0145,0.064,0.0601,0.0316,0.0391
"El Salvador",59.7,103,46.4,19.8,20.2,12,5.75,1.83,1.29,1.7,0.99,0.651
"Equatorial Guinea",3280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eritrea",2530,3980,NA,7420,4140,3230,3280,1870,1570,638,534,216
"Eswatini",NA,3970,2380,432,2930,4310,1750,1360,1040,851,790,331
"Ethiopia",684,770,797,920,959,553,3180,3440,4190,7410,4260,4640
"Gabon",5190,6860,5180,7080,NA,NA,8040,NA,NA,NA,7770,9010
"Gambia",11700,22100,26100,NA,9560,NA,NA,NA,NA,NA,10000,16000
