"country","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007"
"Afghanistan",NA,0.12,0.11,0.14,0.15,0.12,0.38,0.53,0.68,0.81,0.97,0.97
"Albania",0,0,0,0,0,0.26,0.3,0.3,0.33,0.33,0.5,0.75
"Algeria",NA,1,0,0,1,1,1,1,1,1,1,1
"Andorra",0,1,1,1,1,1,1,1,1,1,1,1
"Angola",0,0.31,0.36,0.36,0,0.43,0.43,0.65,0.56,0.6,0.92,0.63
"Antigua and Barbuda",0,NA,NA,1,1,1,1,1,NA,1,0,0
"Argentina",0,0.11,0.29,0.8,0.63,0.92,1,1,1,1,1,1
"Armenia",0.6,0.8,0.8,0.8,0.8,0.9,1,1,1,1,1,1
"Australia",NA,0,0.37,0.37,0.54,0.54,0.54,0.63,0.63,0.88,0.97,1
"Austria",0,0,0,0,1,1,1,1,1,1,1,1
"Azerbaijan",0.12,0.12,0.12,0.12,0.12,0.04,0.32,0.48,0.88,1,1,1
"Bahamas",0,0,0,1,1,NA,1,1,1,NA,NA,1
"Bahrain",0,0,0,1,1,1,1,1,1,1,1,1
"Bangladesh",0.65,0.8,0.9,0.9,0.92,0.95,0.95,0.99,0.99,0.99,1,1
"Barbados",0,0,0,0,0,1,1,NA,1,NA,1,1
"Belarus",0,0,0,0,0,0,0,0.7,0.7,1,1,1
"Belgium",0,0,0,0,0,1,1,1,1,1,1,1
"Belize",1,1,NA,NA,1,1,1,1,1,1,1,1
"Benin",1,1,1,1,1,NA,1,1,1,1,1,NA
"Bhutan",1,1,1,1,1,1,1,1,1,1,0.9,1
"Bolivia",1,1,0.57,1,0.7,1,0.86,1,0.6,0.47,0.47,1
"Bosnia and Herzegovina",0,0,0.27,1,1,1,1,1,1,1,1,1
"Botswana",1,1,1,1,1,1,1,1,1,1,1,1
"Brazil",0,0,0.03,0.07,0.07,0.32,0.25,0.34,0.52,0.68,0.86,0.75
"Brunei",NA,0,NA,1,1,1,1,1,1,1,1,1
"Bulgaria",0,0,0,0,0.03,0.56,0.78,1,1,1,1,1
"Burkina Faso",0.8,0.8,0.98,1,1,1,1,1,1,1,1,1
"Burundi",1,1,0.06,1,NA,0.9,0.91,1,1,1,1,1
"Cambodia",0.8,0.88,1,1,0.99,1,1,1,1,1,1,1
"Cameroon",0.13,0,0.31,0.36,0.46,0.64,0.9,1,1,1,0.9,1
"Canada",0,NA,NA,1,1,1,1,1,1,1,1,1
"Cape Verde",0,0,0,NA,NA,0.3,0,0,0,0.8,0.8,1
"Central African Republic",0.67,0,0,0,NA,0.3,0.75,0.68,0.08,0.17,0.7,NA
"Chad",0.47,NA,NA,1,NA,NA,0.98,0.25,0.8,1,NA,0.33
"Chile",1,1,1,1,1,1,1,1,0.95,1,1,1
"China",0.6,0.64,0.64,0.64,0.68,0.68,0.78,0.91,0.96,1,1,1
"Colombia",0,0,0.14,0.14,0.14,0.14,0.14,0.19,0.25,0.5,0.6,0.7
"Comoros",1,NA,1,NA,1,NA,NA,1,1,1,1,NA
"Congo, Dem. Rep.",0.51,0.6,0.6,0.62,0.7,0.7,0.7,0.75,0.75,1,1,1
"Congo, Rep.",0,0,1,0,1,1,0.2,0.8,0.8,0.6,0.6,0.6
"Costa Rica",0,0,0,0.13,0.4,0.67,0.84,0.91,1,1,1,1
"Cote d'Ivoire",1,1,0.94,0.1,0.6,0.21,0.74,0.74,0.74,0.74,1,1
"Croatia",0,0,0,0,0,0,0,0,0,0.25,0.25,1
"Cuba",1,1,1,1,1,1,1,1,1,1,1,1
"Cyprus",0,0,1,1,0,NA,1,1,1,1,1,1
"Czech Republic",1,1,1,1,1,1,1,1,1,1,1,1
"Denmark",0,0,0,0,0,0,0,0.1,1,1,1,1
"Djibouti",1,1,1,1,1,1,1,1,1,1,1,1
"Dominica",0,1,0.04,NA,NA,NA,1,NA,NA,NA,1,1
"Dominican Republic",0,0,0,0.49,0.07,0.1,0.4,0.71,0.79,0.8,0.8,0.85
"Ecuador",0,0,0,0,0,0.26,0.37,0.5,0.64,0.7,0.8,0.96
"Egypt",0.03,0.19,0.27,0.75,1,1,1,1,1,1,1,1
"El Salvador",0,1,0.9,0.9,0.94,1,1,1,1,1,1,1
"Equatorial Guinea",0.96,0.96,0.96,NA,NA,NA,NA,NA,1,NA,NA,NA
"Eritrea",0,0.19,0.6,0.6,0.8,0.4,0.6,0.6,0.84,0.86,0.86,0.93
"Estonia",0,0,0,0,1,1,1,1,1,1,1,1
"Eswatini",0,NA,NA,NA,0,0,1,1,1,1,1,1
