"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007"
"Algeria",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001
"Angola",0.016,0.017,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
"Argentina",0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"Armenia",6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Australia",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Austria",6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003
"Azerbaijan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001
"Bahamas",0.037,0.036,0.035,0.033,0.032,0.032,0.031,0.03,0.03,0.03,0.03,0.03,0.031
"Bangladesh",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Barbados",0.001,0.002,0.002,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.009,0.011,0.012
"Belarus",6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002
"Belgium",0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Belize",0.015,0.016,0.018,0.019,0.02,0.022,0.022,0.023,0.024,0.024,0.024,0.024,0.024
"Benin",0.011,0.013,0.014,0.014,0.014,0.014,0.014,0.014,0.013,0.013,0.013,0.012,0.012
"Bhutan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001
"Bolivia",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Botswana",0.166,0.197,0.222,0.241,0.253,0.26,0.263,0.263,0.261,0.258,0.255,0.253,0.251
"Brazil",0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"Bulgaria",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001
"Burkina Faso",0.034,0.032,0.029,0.027,0.025,0.023,0.021,0.019,0.017,0.016,0.015,0.014,0.013
"Burundi",0.059,0.059,0.058,0.057,0.054,0.052,0.05,0.047,0.045,0.042,0.04,0.038,0.036
"Cambodia",0.014,0.014,0.014,0.014,0.014,0.013,0.012,0.011,0.009,0.008,0.008,0.007,0.006
"Cameroon",0.042,0.048,0.051,0.053,0.054,0.055,0.055,0.055,0.055,0.054,0.054,0.054,0.054
"Canada",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Central African Republic",0.097,0.101,0.101,0.1,0.098,0.094,0.089,0.084,0.078,0.072,0.066,0.061,0.055
"Chad",0.021,0.023,0.025,0.027,0.029,0.03,0.032,0.033,0.034,0.034,0.035,0.035,0.035
"Chile",0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004
"Colombia",0.006,0.007,0.008,0.008,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006
"Comoros",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Congo, Rep.",0.044,0.043,0.041,0.04,0.039,0.039,0.038,0.038,0.037,0.037,0.036,0.036,0.035
"Costa Rica",6e-04,6e-04,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.003
"Cote d'Ivoire",0.071,0.074,0.075,0.074,0.072,0.069,0.065,0.061,0.057,0.053,0.048,0.044,0.041
"Croatia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Cuba",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001
"Czech Republic",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Denmark",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"Djibouti",0.023,0.025,0.027,0.028,0.029,0.029,0.029,0.029,0.028,0.027,0.027,0.026,0.026
"Dominican Republic",0.009,0.009,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008
"Ecuador",0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004
"Egypt",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"El Salvador",0.004,0.004,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008
"Equatorial Guinea",0.004,0.006,0.007,0.009,0.012,0.015,0.019,0.023,0.027,0.032,0.036,0.04,0.044
"Eritrea",0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.009
"Estonia",0.001,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.009,0.01,0.011,0.011,0.012
"Eswatini",0.106,0.133,0.16,0.185,0.206,0.223,0.236,0.245,0.251,0.255,0.256,0.257,0.258
"Fiji",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001
"Finland",6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"France",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004
"Gabon",0.031,0.037,0.042,0.046,0.049,0.052,0.053,0.054,0.054,0.054,0.054,0.054,0.053
"Gambia",0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.01,0.011,0.013,0.015
"Georgia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001
"Germany",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Ghana",0.017,0.02,0.022,0.023,0.023,0.023,0.023,0.022,0.021,0.021,0.02,0.019,0.019
"Greece",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Guatemala",0.002,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.007
"Guinea",0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.015,0.015,0.014,0.014
"Guinea-Bissau",0.009,0.01,0.012,0.014,0.016,0.018,0.02,0.021,0.023,0.023,0.024,0.024,0.025
"Guyana",0.022,0.021,0.019,0.018,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.01
"Haiti",0.036,0.034,0.033,0.031,0.029,0.028,0.026,0.025,0.023,0.022,0.021,0.021,0.02
"Honduras",0.015,0.015,0.014,0.014,0.013,0.013,0.012,0.011,0.011,0.01,0.009,0.009,0.008
"Hungary",0.001,0.001,0.001,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Iceland",0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003
"India",0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.0039,0.0037,0.0037,0.0034
"Indonesia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001
"Iran",6e-04,6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002
"Ireland",0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Israel",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002
"Italy",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
"Jamaica",0.022,0.021,0.021,0.02,0.02,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017
"Japan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Kazakhstan",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.001
"Kenya",0.103,0.105,0.105,0.101,0.096,0.09,0.084,0.079,0.075,0.071,0.068,0.066,0.064
"Kyrgyz Republic",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.002
"Lao",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001,0.001,0.001,0.001,0.002
"Latvia",0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.006
"Lebanon",0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
"Lesotho",0.143,0.185,0.216,0.234,0.242,0.245,0.245,0.243,0.241,0.238,0.236,0.235,0.235
"Liberia",0.031,0.034,0.036,0.035,0.034,0.033,0.031,0.028,0.026,0.024,0.022,0.02,0.018
"Lithuania",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,0.001
"Luxembourg",0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003
"Madagascar",0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"Malawi",0.139,0.145,0.147,0.147,0.145,0.142,0.138,0.134,0.13,0.125,0.121,0.118,0.114
"Malaysia",0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005
"Maldives",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Mali",0.018,0.019,0.019,0.018,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.011
"Malta",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"Mauritania",0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007
"Mauritius",0.001,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.007,0.008
"Mexico",0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
"Moldova",0.001,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
"Mongolia",6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04,6e-04
"Morocco",6e-04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
