"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007"
"Algeria",42,43,44,45,46,48,49,50,51,52,53,55,56
"Angola",508,512,363,414,384,530,335,307,281,318,331,302,294
"Argentina",74,71,67,63,58,52,51,42,41,39,39,37,35
"Armenia",68,74,75,74,86,94,99,97,91,85,79,79,81
"Australia",7,7,7,6,6,6,6,6,6,6,6,6,6
"Austria",14,13,13,12,12,11,11,11,10,10,10,10,10
"Azerbaijan",76,85,91,100,106,113,117,99,109,90,85,86,86
"Bahamas",54,54,54,55,46,45,45,51,51,50,50,50,51
"Bangladesh",576,550,535,516,492,500,491,478,458,444,416,392,387
"Barbados",6,6,6,5,5,5,4,4,4,4,4,3,3
"Belarus",82,91,98,109,113,110,100,89,68,68,68,69,69
"Belgium",14,13,13,12,12,12,13,12,11,11,11,10,9
"Belize",55,37,41,53,53,39,36,36,40,42,38,41,46
"Benin",125,127,129,130,128,128,129,137,139,134,135,134,135
"Bhutan",651,620,597,551,538,515,512,472,460,443,412,406,363
"Bolivia",306,271,264,254,248,238,229,223,218,211,205,202,198
"Botswana",349,336,349,371,413,445,497,535,586,598,599,621,622
"Brazil",100,97,93,88,86,83,80,77,72,63,60,56,60
"Bulgaria",57,59,65,68,68,64,63,52,42,40,41,40,41
"Burkina Faso",246,251,271,286,308,338,368,398,419,426,421,411,403
"Burundi",322,339,346,424,412,455,522,581,619,639,654,657,647
"Cambodia",811,810,789,777,764,758,750,728,712,696,676,672,664
"Cameroon",197,196,207,212,219,228,241,240,227,228,213,201,195
"Canada",6,5,5,5,5,5,4,4,4,4,4,4,4
"Central African Republic",365,270,395,419,449,485,495,468,566,574,507,437,425
"Chad",315,354,408,433,390,420,450,502,573,548,518,505,497
"Chile",30,28,25,24,22,21,19,19,18,15,15,13,12
"Colombia",73,71,69,67,61,51,62,60,58,55,53,44,43
"Comoros",140,130,155,120,143,112,103,104,107,99,91,86,83
"Congo, Rep.",269,424,457,367,545,313,354,402,509,477,482,511,485
"Costa Rica",24,23,22,21,19,14,14,15,14,12,12,12,11
"Cote d'Ivoire",319,329,350,376,413,472,571,561,590,604,613,597,582
"Croatia",106,103,102,99,89,76,73,69,68,67,65,65,54
"Cuba",20,18,17,15,14,13,12,11,10,9,8,8,7
"Czech Republic",21,21,21,19,18,16,14,13,12,11,11,10,9
"Denmark",9,9,8,8,8,7,7,7,7,7,6,7,6
"Djibouti",1380,720,669,698,701,761,775,932,960,1030,1050,1090,1100
"Dominican Republic",141,135,132,128,122,119,115,102,93,90,85,84,82
"Ecuador",228,221,212,207,200,194,185,170,162,155,155,148,140
"Egypt",44,51,46,43,40,36,34,32,31,29,28,27,27
"El Salvador",99,97,80,76,72,69,66,62,60,57,52,50,48
"Equatorial Guinea",207,216,222,236,253,274,441,470,490,370,366,358,469
"Eritrea",232,232,225,203,114,114,111,118,110,122,127,133,134
"Estonia",85,88,98,102,105,72,68,62,56,50,46,44,39
"Eswatini",441,460,504,556,647,740,832,693,739,776,788,801,812
"Fiji",53,49,49,46,40,42,35,36,29,33,31,30,30
"Finland",10,10,10,9,9,8,7,7,6,6,5,5,5
"France",16,15,15,14,14,13,12,12,12,12,11,11,11
"Gabon",293,312,320,359,366,434,249,302,299,288,332,358,379
"Gambia",341,324,321,311,485,491,499,335,343,341,366,399,404
"Georgia",66,73,104,87,90,98,95,95,94,90,86,83,83
"Germany",13,12,11,11,10,9,8,7,6,6,6,5,5
"Ghana",432,426,388,384,382,368,358,359,358,359,357,355,353
"Greece",23,22,22,21,20,19,18,18,17,17,16,16,16
"Guatemala",100,95,94,93,92,90,91,89,89,86,85,84,87
"Guinea",275,277,293,305,317,332,346,363,380,391,425,426,448
"Guinea-Bissau",390,390,387,385,386,273,276,305,296,287,283,270,276
"Guyana",67,78,81,90,93,98,112,126,136,130,132,133,136
"Haiti",429,428,426,417,407,403,397,388,380,377,368,368,366
"Honduras",115,114,112,106,98,70,70,72,71,72,71,70,71
"Hungary",73,74,72,67,47,43,39,36,33,29,26,22,19
"Iceland",4,3,3,3,3,3,3,2,2,2,3,3,3
"India",525,517,501,487,476,443,411,389,349,311,299,290,283
"Indonesia",380,369,359,348,335,326,314,297,287,274,261,251,244
"Iran",55,61,52,45,41,40,38,37,35,32,31,29,27
"Ireland",14,12,12,12,12,12,11,10,10,10,10,10,11
"Israel",8,8,8,8,7,7,7,6,6,6,6,6,6
"Italy",8,9,8,7,7,7,7,7,6,6,6,6,6
"Jamaica",9,7,7,7,7,7,7,7,7,7,7,7,7
"Japan",51,50,50,49,48,45,41,39,36,34,32,30,28
"Kazakhstan",94,109,137,163,134,141,148,150,155,152,147,144,139
"Kenya",207,233,277,313,351,393,384,392,402,410,388,340,319
"Kyrgyz Republic",118,141,165,147,146,156,169,153,145,139,136,135,134
"Lao",407,373,360,352,344,344,337,330,324,313,298,291,289
"Latvia",91,77,89,92,95,91,89,85,78,72,66,61,55
"Lebanon",59,64,54,50,37,35,30,26,24,22,21,23,23
"Lesotho",242,248,264,298,518,356,370,399,408,414,421,408,568
"Liberia",461,418,424,396,403,435,437,382,429,370,416,393,398
"Lithuania",98,110,119,125,120,115,96,83,72,72,66,65,69
"Luxembourg",14,14,13,13,12,11,11,11,10,10,10,10,9
"Madagascar",370,339,345,346,352,359,371,382,375,384,408,400,417
"Malawi",348,337,342,345,349,362,350,358,353,346,342,324,305
"Malaysia",151,147,173,170,167,135,133,132,128,128,126,123,121
"Maldives",88,88,101,89,94,96,84,83,69,71,63,69,48
"Mali",583,573,566,565,567,571,573,572,578,584,589,593,599
"Malta",7,7,7,7,6,6,6,5,5,5,5,5,5
"Mauritania",595,622,615,612,615,619,624,632,642,494,565,556,559
"Mauritius",45,62,61,45,40,39,42,40,39,38,39,39,39
"Mexico",68,64,58,52,48,42,38,35,33,31,27,25,23
"Moldova",138,157,171,191,203,215,174,211,176,152,151,151,151
"Mongolia",477,333,342,307,281,297,273,258,258,233,232,217,234
"Morocco",116,107,106,105,99,98,95,87,91,89,85,82,80
"Mozambique",369,386,408,432,461,499,535,556,569,567,551,528,504
"Myanmar",361,298,309,312,298,267,238,202,175,168,161,161,162
"Namibia",658,387,395,411,442,481,506,544,560,572,570,556,532
"Nepal",523,498,473,448,363,312,304,285,271,260,247,246,240
"Netherlands",8,8,8,8,7,7,7,6,6,6,6,6,6
"New Zealand",11,10,10,11,11,11,10,10,10,10,9,8,7
"Nicaragua",108,100,97,93,89,85,80,79,73,69,68,64,56
"Niger",318,322,292,281,281,278,280,288,275,287,285,289,292
"Nigeria",366,379,399,423,452,489,526,563,575,573,563,543,521
"Norway",6,6,6,6,5,5,5,5,5,4,4,4,4
"Oman",22,15,15,14,14,13,14,13,13,12,13,13,14
"Pakistan",422,421,421,415,420,413,406,376,355,333,289,260,223
"Panama",68,67,67,65,64,60,51,48,49,44,44,44,45
"Papua New Guinea",496,494,493,491,489,486,482,477,471,463,453,441,430
"Paraguay",88,71,92,92,91,90,89,88,85,85,81,74,73
