"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007"
"Algeria",43.6,42.5,41.6,40.8,40.3,39.7,38.9,37.8,36.5,35,33.5,32,30.7
"Angola",223,221,219,215,211,206,200,193,185,176,167,157,148
"Argentina",24.1,23.1,22.1,21.2,20.4,19.6,18.9,18.3,17.7,17.1,16.5,16.1,15.7
"Armenia",39.1,37.3,35.6,33.9,32.3,30.8,29.3,27.8,26.5,25.2,23.9,22.7,21.6
"Australia",7.01,6.77,6.59,6.45,6.31,6.19,6.08,5.99,5.91,5.82,5.72,5.59,5.41
"Austria",6.82,6.36,6.01,5.77,5.61,5.5,5.41,5.31,5.2,5.05,4.9,4.76,4.65
"Azerbaijan",94.5,92.2,88.9,84.8,80,75,69.8,64.9,60.4,56.2,52.5,49.2,46
"Bahamas",18.5,17.7,16.9,16.4,15.9,15.7,15.5,15.4,15.3,15.1,14.9,14.5,14.2
"Bangladesh",114,108,103,97.3,92.2,87.3,82.7,78.2,74,70,66.1,62.4,58.8
"Barbados",15.2,15,14.9,14.9,15,15.2,15.4,15.6,15.7,15.7,15.7,15.5,15.3
"Belarus",15.7,15.5,15.1,14.5,13.7,12.8,11.8,10.8,10,9.24,8.52,7.83,7.17
"Belgium",7.65,7.14,6.71,6.35,6.06,5.81,5.59,5.4,5.22,5.07,4.94,4.83,4.73
"Belize",28.9,27.6,26.5,25.4,24.5,23.6,22.9,22.2,21.7,21.3,20.9,20.6,20.2
"Benin",156,152,149,146,143,139,136,133,129,126,123,120,118
"Bhutan",101,96.1,91.2,86.5,82,77.7,73.5,69.4,65.4,61.6,57.9,54.4,51.1
"Bolivia",98.1,93.6,89,84.4,79.8,75.3,71,67,63.1,59.4,55.8,52.5,49.4
"Botswana",70,74.5,78.8,82.4,85.1,86.9,86.3,84.3,81.7,78,71.9,65.7,61.7
"Brazil",47.9,45,42.2,39.6,37.1,34.8,32.6,30.5,28.5,26.6,24.9,23.3,21.9
"Bulgaria",19.3,19.4,19.3,18.9,18.2,17.5,16.8,15.9,15.1,14.2,13.3,12.5,11.9
"Burkina Faso",195,193,189,186,182,179,175,171,166,160,153,145,137
"Burundi",178,175,171,167,162,156,151,145,139,132,125,118,110
"Cambodia",120,120,120,118,114,107,97.1,87.2,78.4,71.2,65.3,60.3,55.9
"Cameroon",150,152,153,153,152,149,146,142,137,133,129,125,121
"Canada",6.93,6.71,6.53,6.38,6.27,6.21,6.17,6.15,6.13,6.1,6.05,5.98,5.9
"Central African Republic",177,176,175,174,173,172,171,169,168,166,165,163,160
"Chad",200,197,195,192,189,186,183,179,176,172,169,165,162
"Chile",13.1,12.5,12.2,11.9,11.5,10.9,10.3,9.8,9.51,9.29,9.1,8.96,8.91
"Colombia",29.7,28.7,27.7,26.7,25.8,25,24.2,23.5,22.8,22.2,21.5,20.9,20.3
"Comoros",108,106,104,103,102,102,102,102,102,101,99.3,97.3,95.2
"Congo, Rep.",105,108,112,115,115,114,111,106,100,93.2,86.1,79.4,73.6
"Costa Rica",14.8,14.7,14.7,14.4,13.8,13,12.2,11.6,11.1,10.8,10.5,10.4,10.3
"Cote d'Ivoire",155,154,152,150,148,145,142,138,135,131,127,123,119
"Croatia",9.97,9.6,9.26,8.94,8.62,8.31,8,7.68,7.36,7.04,6.73,6.43,6.15
"Cuba",10.6,10.1,9.67,9.27,8.9,8.55,8.23,7.93,7.65,7.4,7.15,6.93,6.71
"Czech Republic",8.51,7.69,6.95,6.33,5.84,5.46,5.18,4.97,4.78,4.58,4.36,4.14,3.92
"Denmark",6.54,6.23,5.99,5.78,5.62,5.5,5.39,5.28,5.15,5,4.83,4.65,4.47
"Djibouti",110,109,107,105,103,101,99.1,96.5,94,91.5,89,86.4,83.8
"Dominican Republic",49,47,45.2,43.6,42.2,40.9,39.8,38.9,38,37.3,36.7,36.1,35.6
"Ecuador",40.5,37.8,35.3,33,30.9,29,27.4,26,24.8,23.8,22.8,21.9,21
"Egypt",64.7,60.6,56.6,53,49.8,46.8,44.1,41.7,39.6,37.7,36,34.4,33
"El Salvador",44.6,42,39.4,37,34.8,32.9,31.1,29.4,27.8,26.3,24.9,23.6,22.4
"Equatorial Guinea",173,171,168,165,161,157,152,148,144,139,134,130,125
"Eritrea",115,107,101,95.2,90.1,85.5,81.3,77.5,73.9,70.7,67.8,64.9,62.3
"Estonia",15.7,14.7,13.8,12.8,11.9,10.9,10.1,9.24,8.47,7.76,7.1,6.5,5.94
"Eswatini",93.8,101,108,114,121,126,130,132,133,132,129,118,112
"Fiji",24.9,24.4,23.8,23.4,23,22.7,22.5,22.4,22.4,22.6,23,23.3,23.6
"Finland",5.17,4.92,4.72,4.55,4.41,4.27,4.16,4.07,3.98,3.88,3.77,3.64,3.51
"France",6.51,6.12,5.84,5.64,5.5,5.37,5.23,5.07,4.9,4.72,4.58,4.47,4.4
"Gabon",89.3,88.7,88,87.1,86,84.7,83.1,81.3,79.4,77.3,75,73,70.5
"Gambia",140,134,129,124,119,115,110,106,102,97.8,93.8,90,86.3
"Georgia",45.2,44.1,42.7,41,39,36.8,34.3,31.7,29,26.3,23.7,21.3,19.1
"Germany",6.46,6.17,5.92,5.7,5.52,5.36,5.22,5.09,4.97,4.85,4.73,4.61,4.49
"Ghana",114,112,109,106,103,99.5,95.8,92.4,89.3,86.6,84.2,81.8,79.3
"Greece",8.47,8.12,7.73,7.31,6.86,6.41,5.98,5.57,5.2,4.86,4.56,4.31,4.11
"Guatemala",63.9,61.1,58.6,56.1,53.9,51.7,49.6,47.7,45.8,44,42.3,40.8,39.2
"Guinea",202,195,188,181,174,166,159,152,145,139,134,130,126
"Guinea-Bissau",200,195,190,185,180,175,169,163,157,151,145,139,132
"Guyana",52.8,51.5,50.2,49,47.8,46.6,45.5,44.4,43.4,42.4,41.5,40.7,39.8
"Haiti",124,119,115,111,107,103,100,96.8,94.1,91.6,89.3,87.2,85.2
"Honduras",46.3,44.3,42.4,58.9,38.9,37.1,35.5,33.8,32.3,30.8,29.4,28.1,26.9
"Hungary",12.5,11.9,11.5,11.1,10.7,10.2,9.54,8.94,8.4,7.95,7.55,7.19,6.85
"Iceland",5.21,4.96,4.72,4.48,4.26,4.05,3.86,3.68,3.51,3.35,3.2,3.07,2.94
"India",109,106,102,98.8,95.2,91.6,88,84.5,81.1,77.7,74.4,71.1,67.9
"Indonesia",66.4,63.2,60.3,57.5,54.9,52.4,50,47.8,45.7,49.7,41.9,40.1,38.5
"Iran",44.2,42.2,40.2,38.2,36.2,34.3,32.4,30.6,28.9,27.4,25.9,24.4,23.1
"Ireland",7.3,7.29,7.32,7.33,7.29,7.15,6.89,6.5,6.04,5.59,5.19,4.86,4.62
"Israel",8.66,8.18,7.79,7.46,7.17,6.89,6.63,6.37,6.11,5.85,5.58,5.33,5.1
"Italy",7.48,7.02,6.61,6.22,5.87,5.56,5.3,5.05,4.83,4.63,4.47,4.34,4.23
"Jamaica",26,25.2,24.4,23.6,22.9,22.3,21.7,21.2,20.8,20.4,20.1,19.8,19.5
"Japan",5.67,5.45,5.21,4.97,4.73,4.5,4.3,4.13,3.99,3.86,3.74,3.63,3.52
"Kazakhstan",52.8,51.7,49.9,47.8,45.3,42.8,40.3,37.9,35.6,33.5,31.3,29.1,26.9
"Kenya",119,118,116,114,110,106,101,95.8,90.5,85,79.3,74,69.1
"Kyrgyz Republic",62.8,60.4,57.7,54.9,52.1,49.5,47.1,44.9,42.8,40.9,39.2,37.6,35.8
"Lao",128,124,119,115,111,107,103,98.5,94.4,90.4,86.4,82.5,78.7
"Latvia",19.8,19,17.9,16.6,15.3,14.2,13.3,12.6,11.9,11.2,10.5,9.84,9.31
"Lebanon",25.6,24.5,23.3,22.2,21,19.9,18.8,17.6,16.4,15.3,14.1,13.1,12.2
"Lesotho",101,104,108,112,115,118,121,122,123,123,122,122,118
"Liberia",244,235,224,212,199,187,174,161,149,138,128,120,112
"Lithuania",15.1,13.5,12.3,11.6,11.2,10.7,10.3,9.88,9.59,9.32,9.01,8.58,8.04
"Luxembourg",6.34,5.97,5.63,5.32,5.05,4.8,4.56,4.33,4.1,3.88,3.68,3.49,3.33
"Madagascar",136,131,126,119,113,107,102,96.2,91.2,86.8,82.8,79.2,75.9
"Malawi",203,199,195,190,183,173,160,146,133,121,113,107,103
"Malaysia",13.3,12.9,12.4,11.7,11,10.2,9.48,8.93,8.54,8.3,8.13,8,7.91
"Maldives",62.4,57.7,53,48.4,43.8,39.2,34.9,30.9,27.4,27.1,21.7,19.5,17.7
"Mali",212,208,204,199,194,188,182,176,169,163,157,152,147
"Malta",9.38,8.98,8.59,8.22,7.88,7.59,7.34,7.15,7,6.9,6.83,6.79,6.78
"Mauritania",114,114,114,114,114,114,113,113,112,111,110,108,105
"Mauritius",22.2,22.7,22.6,21.6,20.2,18.6,17.1,16.1,15.7,15.6,15.7,15.9,16
"Mexico",34.7,32.9,31.2,29.5,27.9,26.4,25,23.6,22.5,21.4,20.5,19.7,19
"Moldova",38.4,38.6,38,36.4,34.1,31.3,28.3,25.4,23,21.1,19.7,18.8,18.1
"Mongolia",86.9,82.6,78.1,73.4,68.6,63.7,58.9,54.1,49.6,45.4,41.5,37.9,34.5
"Morocco",62.5,59.6,56.8,54.2,51.7,49.4,47.3,45.3,43.4,41.6,39.8,38.1,36.5
"Mozambique",218,210,201,191,181,171,163,154,147,140,134,128,121
"Myanmar",102,99.1,96.5,94,91.5,89.1,86.7,84.3,81.8,79.3,76.7,74,71.4
"Namibia",70.7,72.1,73.6,75,76.2,77.1,77.7,78,78.1,77.5,73.1,67.3,61.2
"Nepal",107,101,96,90.8,85.8,81.1,76.5,72.3,68.3,64.6,61.1,57.9,54.9
"Netherlands",6.9,6.71,6.55,6.41,6.3,6.19,6.06,5.91,5.74,5.55,5.36,5.15,4.95
"New Zealand",8.74,8.4,8.1,7.84,7.6,7.39,7.2,7.03,6.87,6.72,6.58,6.46,6.37
"Nicaragua",50.5,47.5,44.5,47.6,39,36.6,34.3,32.1,30.1,28.2,26.5,24.9,23.5
"Niger",279,266,255,244,235,226,217,206,195,183,172,161,150
"Nigeria",206,203,200,195,190,185,179,173,167,162,156,151,146
"Norway",5.72,5.44,5.24,5.1,4.98,4.85,4.7,4.55,4.37,4.2,4.03,3.86,3.7
"Oman",24.1,22.2,20.5,19,17.6,16.5,15.4,14.6,13.9,13.3,12.8,12.5,12.2
"Pakistan",126,123,121,118,115,112,110,107,105,102,99.8,97.3,94.9
"Panama",28,27.6,27.3,26.9,26.4,25.9,25.3,24.7,24.1,23.5,22.9,22.3,21.7
"Papua New Guinea",79.5,78.1,76.7,75.2,73.8,72.4,71,69.6,68.2,66.7,65.3,63.9,62.5
"Paraguay",38.2,37.2,36.2,35.4,34.5,33.8,33,32.3,31.5,30.7,29.9,29.2,28.4
"Peru",58.3,53.9,49.6,45.6,41.9,38.6,35.6,33,30.6,28.5,26.7,25.1,23.6
"Philippines",43.8,42.1,40.7,39.6,38.6,37.8,37.1,36.4,35.7,35,34.4,33.8,33.3
"Poland",14.4,13.2,12,10.9,9.99,9.31,8.81,8.43,8.1,7.82,7.56,7.31,7.01
"Portugal",9.74,9.15,8.64,8.17,7.7,7.2,6.67,6.12,5.58,5.1,4.73,4.44,4.23
"Qatar",15.3,14.6,14,13.4,12.9,12.4,11.9,11.5,11.1,10.7,10.4,10.1,9.8
"Romania",27.1,26.6,25.8,24.6,23.1,21.9,21.1,20.5,20,19.3,18,16.2,14.4
"Russia",21.8,21.6,21.2,20.7,20.1,19.3,18.3,17.2,16,14.8,13.7,12.8,11.9
"Rwanda",244,186,209,226,191,183,170,155,139,124,110,98.3,87.8
"Senegal",140,141,141,139,136,131,125,117,109,101,93.7,87,80.9
"Sierra Leone",255,252,248,244,239,234,229,223,217,210,204,196,189
"Singapore",5.04,4.8,4.59,4.37,4.12,3.86,3.6,3.38,3.2,3.06,2.96,2.89,2.86
"Slovak Republic",11.9,11.5,11,10.6,10.2,9.78,9.43,9.1,8.79,8.5,8.22,7.94,7.68
"Slovenia",7.44,6.98,6.56,6.18,5.83,5.51,5.22,4.94,4.68,4.44,4.21,3.99,3.78
"Somalia",172,172,172,172,172,172,172,172,172,172,172,172,170
"South Africa",60.2,62.7,65.7,69,71.7,73.9,75.8,77.4,79.1,79.4,78.5,76,71
"South Korea",10.4,9.64,8.99,8.42,7.91,7.48,7.09,6.71,6.33,5.93,5.53,5.15,4.81
"Spain",6.9,6.5,6.14,5.85,5.62,5.44,5.28,5.14,5,4.86,4.71,4.54,4.36
"Sri Lanka",20,19.3,18.6,17.9,17.1,16.5,16,15.5,15.1,29.1,14.2,13.6,12.9
"Sudan",120,117,114,111,108,104,101,97.5,94.2,91.1,88.2,85.4,82.8
"Suriname",41,39.6,38.3,37,35.7,34.4,33.3,32.1,31.1,30,29.1,28.2,27.3
"Sweden",4.83,4.54,4.34,4.22,4.14,4.1,4.05,3.99,3.88,3.75,3.6,3.45,3.32
"Switzerland",6.39,6.14,5.95,5.82,5.73,5.64,5.55,5.44,5.33,5.2,5.07,4.94,4.82
"Tajikistan",112,108,103,96.8,90.4,83.9,77.6,71.5,65.9,60.7,56.2,52.4,49.3
"Tanzania",157,153,149,144,137,130,122,114,107,100,94.2,89.2,84.4
"Thailand",28.3,26.8,25.5,24.2,23,21.9,20.8,19.8,18.8,17.9,17,16.2,15.4
"Togo",135,132,129,126,123,120,117,113,110,107,104,101,98
"Trinidad and Tobago",29,28.8,28.8,28.7,28.7,28.7,28.6,28.4,27.9,27.4,26.8,26.2,25.5
"Tunisia",42.8,40.1,37.4,34.7,32.3,30,28,26.2,24.7,23.3,22.1,21.1,20.2
"Turkey",54.5,50.9,47.5,44.1,40.9,37.9,35,32.3,29.8,27.5,25.4,23.4,21.6
"Uganda",167,165,162,159,154,148,141,133,125,117,109,102,94.9
"Ukraine",20.3,20.4,20.2,19.8,19.2,18.4,17.6,16.7,15.9,15.1,14.5,13.9,13.4
"United Kingdom",7.19,7.02,6.89,6.76,6.65,6.54,6.44,6.35,6.26,6.16,6.05,5.92,5.76
"United States",9.46,9.18,8.94,8.75,8.59,8.45,8.33,8.23,8.14,8.05,7.96,7.86,7.75
"Uruguay",20.5,19.9,19.1,18.3,17.6,17,16.6,16.1,15.7,15.1,14.3,13.5,12.7
"Uzbekistan",70.6,69.7,68.6,67.1,65.2,62.9,60.2,57.5,54.7,52,49.3,46.6,44
"Vietnam",39.1,36.9,34.9,33,31.4,29.9,28.6,27.5,26.6,25.8,25.1,24.5,24.1
"Zambia",181,178,175,173,169,162,153,142,130,119,110,101,95.4
