"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007"
"Algeria",46.8,48,49.7,48.7,45.5,45.9,52.5,54.1,62.6,63.2,69.3,81.7,109
"Angola",13.5,8.72,10.5,6.65,6.55,12.5,18.3,14.3,19.4,19.7,27.1,50.9,68.4
"Argentina",368,357,373,383,400,382,367,121,148,174,217,259,334
"Armenia",7.97,8.16,7.36,10,9.63,7.07,11,10.6,13.9,16.3,23.6,33,48.3
"Australia",1030,1150,1180,1050,1190,1150,1080,1240,1540,1920,2100,2220,2670
"Austria",2110,2050,1930,2020,2050,1820,1820,1950,2410,2790,2920,3040,3520
"Azerbaijan",4.33,6.02,6.15,5.04,5.62,5.64,5.9,5.96,7.21,10.5,13.6,20.8,36.7
"Bahamas",335,353,396,458,497,523,524,556,582,633,635,804,805
"Bangladesh",23.8,24.4,20.4,21.2,22.3,24.2,27.1,29.4,30.4,33.7,37.4,43,47.4
"Barbados",306,318,322,347,372,396,429,459,456,472,498,543,560
"Belarus",49.2,66.5,75,68.8,56.6,47.9,58.5,66.8,87.5,115,154,168,207
"Belgium",1640,1680,1440,1480,1500,1380,1410,1530,2250,2680,2750,2690,3070
"Belize",74.1,58,63.7,62.3,61,69.5,88,87.2,95.4,96.5,105,113,133
"Benin",8.11,8.24,6.87,7.74,8.3,6.94,8.58,7.64,11,11.9,13.4,14.3,16
"Bhutan",12.9,19.2,24.4,25,38.2,40.9,39.3,58.5,37.3,34.9,44,56.2,73.8
"Bolivia",25.6,28.8,29.6,33.3,36.7,36.9,36,37.5,30.7,32.6,38.6,41.3,44.4
"Botswana",65.3,65.6,77.7,71.3,75.5,94.4,126,145,180,346,311,291,386
"Brazil",136,142,153,143,103,107,96.3,90.7,94.8,121,156,205,255
"Bulgaria",60.5,38.5,45.8,57.8,63.9,59.5,75.5,94.3,125,145,167,169,218
"Burkina Faso",4.15,4.55,4.48,4.98,5.47,4.32,4.11,5.56,8.17,12.2,15.8,14.9,18
"Burundi",3.01,2.87,2.41,2.33,2.08,2.01,2.3,2.01,1.65,3.44,4.67,6.17,6.65
"Cambodia",3.21,7.43,5.57,3.29,3.23,3.81,5.27,6.58,8.42,9.26,7.22,7.99,10.3
"Cameroon",5.86,5.97,6.1,5.15,5.45,5.53,6.78,8.56,10.8,10.4,10.6,10.8,11.9
"Canada",1300,1290,1310,1300,1360,1470,1500,1560,1880,2130,2430,2730,3050
"Central African Republic",4.86,3.48,4.05,3.4,3.9,4.13,3.82,4.39,4.72,4.9,4.42,4.84,5.72
"Chad",4.14,4.55,4.04,3.77,3.84,4.49,4.81,5.59,8.09,8.45,10.5,7.83,6.6
"Chile",127,142,156,163,158,169,159,157,134,167,201,249,295
"Colombia",109,149,175,172,157,131,125,123,123,145,178,193,239
"Comoros",13.5,12.3,10.5,8.82,7.98,5.47,4.17,6.95,9.46,11.8,13.4,15.4,19.1
"Congo, Rep.",14.5,15.5,14,14,13.5,12.5,11.6,11.8,13.5,18.4,24.6,31.7,34.7
"Costa Rica",168,169,163,180,195,204,220,236,243,246,253,283,353
"Cote d'Ivoire",8.56,10.6,11,10.8,9.9,8.35,5.98,6.93,7.68,9.35,7.74,8.51,13.6
"Croatia",280,323,255,324,325,325,313,300,409,498,606,680,877
"Cuba",101,108,114,121,139,151,161,172,181,186,282,332,557
"Czech Republic",340,366,334,360,347,326,363,473,598,687,769,839,972
"Denmark",2330,2370,2160,2190,2460,2190,2300,2550,3170,3690,3920,4240,4800
"Djibouti",19.2,17.9,20.9,26.1,33.2,29.6,26.9,27.4,33.6,29.3,43.2,43.9,53.9
"Dominican Republic",22.6,26.1,35,44.1,50.7,60.4,54.1,57.5,43.8,36.1,62.7,78,83.1
"Ecuador",40.4,47.4,47.1,32.5,25.6,16.7,27,36.3,32.1,37.5,40.5,48.8,55.5
"Egypt",17.4,19,22.7,26.3,29.4,31.8,30.7,29.6,23.4,23.8,26.8,33.3,34.9
"El Salvador",40.7,55.3,59.9,71.6,72.9,79.8,82.3,85.5,86.5,93.4,106,126,122
"Equatorial Guinea",12.4,13.9,21.1,23.2,18.2,21.5,38.6,114,82.7,108,135,185,260
"Eritrea",4.04,2.89,3.84,4.03,3.88,4.33,4.83,3.68,3.63,3.78,3.6,3.83,4.09
"Estonia",149,194,199,193,196,169,174,201,279,345,398,459,639
"Eswatini",49.9,49.8,48,44.1,44.3,42.4,36.6,34.5,63.6,68.9,82,97.6,97.9
"Fiji",62.5,71.7,76.3,54,60.3,67.1,53.5,64.4,76.5,96.2,107,113,113
"Finland",1440,1440,1330,1340,1330,1210,1280,1470,1920,2230,2370,2470,2780
"France",2180,2180,1940,1970,1950,1750,1770,1980,2490,2860,2980,3110,3510
"Gabon",51.6,60.5,46.8,54,41.1,43,44.8,44.4,67.2,73.2,69.4,81.5,103
