"country","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007"
"Algeria",0.0417,0.0379,0.0406,0.0406,0.0387,0.0349,0.0384,0.0387,0.0374,0.0338,0.0306,0.0313,0.0353
"Angola",0.0379,0.0217,0.0226,0.0185,0.0194,0.0241,0.0345,0.0236,0.0264,0.0209,0.0196,0.0242,0.0252
"Argentina",0.0831,0.0803,0.0836,0.0854,0.0935,0.0921,0.0941,0.0832,0.0831,0.0832,0.0845,0.0845,0.0844
"Armenia",0.0645,0.0581,0.0579,0.0578,0.057,0.0627,0.0595,0.0541,0.0556,0.0549,0.0486,0.0418,0.0388
"Australia",0.0722,0.0741,0.0746,0.0763,0.0776,0.0803,0.0812,0.0836,0.0828,0.0854,0.0843,0.0846,0.0848
"Austria",0.0952,0.0946,0.0978,0.0993,0.101,0.099,0.1,0.1,0.102,0.103,0.103,0.102,0.102
"Azerbaijan",0.0586,0.062,0.0549,0.0549,0.054,0.0468,0.0448,0.0447,0.0655,0.079,0.078,0.0609,0.05
"Bahamas",0.0685,0.0692,0.0647,0.0628,0.0606,0.0591,0.0588,0.0611,0.0651,0.07,0.0704,0.0803,0.0814
"Bangladesh",0.0353,0.0346,0.0275,0.0273,0.0276,0.0281,0.0298,0.0309,0.0304,0.0312,0.0321,0.034,0.0346
"Barbados",0.0634,0.0616,0.0594,0.0593,0.0612,0.0629,0.0667,0.0728,0.0696,0.0699,0.0696,0.0712,0.0697
"Belarus",0.0674,0.0624,0.0659,0.0596,0.0616,0.0613,0.0663,0.0647,0.0659,0.0659,0.0689,0.0634,0.0644
"Belgium",0.0761,0.0791,0.0776,0.0789,0.0808,0.0812,0.0829,0.0846,0.1,0.101,0.1,0.0959,0.0964
"Belize",0.0423,0.0362,0.039,0.0378,0.0365,0.0396,0.0449,0.0436,0.0452,0.0438,0.0443,0.0439,0.0479
"Benin",0.0469,0.0459,0.0431,0.0439,0.0459,0.0434,0.0469,0.0427,0.0463,0.0456,0.0473,0.0475,0.046
"Bhutan",0.0341,0.0474,0.0544,0.0566,0.0707,0.069,0.0647,0.0835,0.0515,0.0441,0.0466,0.052,0.0501
"Bolivia",0.0447,0.0463,0.0442,0.051,0.062,0.0608,0.0631,0.0653,0.0557,0.0534,0.0558,0.048,0.047
"Botswana",0.0417,0.0416,0.0442,0.0397,0.0385,0.0474,0.0533,0.0606,0.0596,0.0832,0.0766,0.0674,0.0786
"Brazil",0.0665,0.0685,0.0681,0.0674,0.0709,0.0716,0.0727,0.072,0.0703,0.0713,0.0817,0.0848,0.0847
