Measurement,Country,Year,Value
Share of gross domestic product,Austria,2011,10.026
Share of gross domestic product,Austria,2012,10.199
Share of gross domestic product,Austria,2013,10.286
Share of gross domestic product,Austria,2014,10.368
Share of gross domestic product,Austria,2015,10.368
Share of gross domestic product,Austria,2016,10.361
Share of gross domestic product,Austria,2017,10.356
Share of gross domestic product,Austria,2018,10.316
Share of gross domestic product,Austria,2019,10.408
Share of gross domestic product,Belgium,2010,10.234
Share of gross domestic product,Belgium,2011,10.392
Share of gross domestic product,Belgium,2012,10.507
Share of gross domestic product,Belgium,2013,10.562
Share of gross domestic product,Belgium,2014,10.44
Share of gross domestic product,Belgium,2015,10.427
Share of gross domestic product,Belgium,2016,10.282
Share of gross domestic product,Belgium,2017,10.406
Share of gross domestic product,Belgium,2018,10.319
Share of gross domestic product,Belgium,2019,10.349
Share of gross domestic product,Denmark,2010,10.333
Share of gross domestic product,Denmark,2011,10.153
Share of gross domestic product,Denmark,2012,10.241
Share of gross domestic product,Denmark,2013,10.17
Share of gross domestic product,Denmark,2014,10.172
Share of gross domestic product,Denmark,2015,10.227
Share of gross domestic product,Denmark,2016,10.145
Share of gross domestic product,Denmark,2017,10.122
Share of gross domestic product,Denmark,2018,10.105
Share of gross domestic product,Denmark,2019,10.031
Share of gross domestic product,Greece,2010,9.516
Share of gross domestic product,Greece,2011,9.028
Share of gross domestic product,Greece,2012,8.792
Share of gross domestic product,Greece,2013,8.319
Share of gross domestic product,Greece,2014,7.85
Share of gross domestic product,Greece,2015,8.017
Share of gross domestic product,Greece,2016,8.215
Share of gross domestic product,Greece,2017,7.965
Share of gross domestic product,Greece,2018,7.715
Share of gross domestic product,Greece,2019,7.791
Share of gross domestic product,Turkey,2010,5.054
Share of gross domestic product,Turkey,2011,4.688
Share of gross domestic product,Turkey,2012,4.478
Share of gross domestic product,Turkey,2013,4.404
Share of gross domestic product,Turkey,2014,4.347
Share of gross domestic product,Turkey,2015,4.139
Share of gross domestic product,Turkey,2016,4.314
Share of gross domestic product,Turkey,2017,4.211
Share of gross domestic product,Turkey,2018,4.162
Share of gross domestic product,Turkey,2019,4.383
Share of gross domestic product,Lithuania,2010,6.834
Share of gross domestic product,Lithuania,2011,6.505
Share of gross domestic product,Lithuania,2012,6.291
Share of gross domestic product,Lithuania,2013,6.136
Share of gross domestic product,Lithuania,2014,6.199
Share of gross domestic product,Lithuania,2015,6.495
Share of gross domestic product,Lithuania,2016,6.637
Share of gross domestic product,Lithuania,2017,6.465
Share of gross domestic product,Lithuania,2018,6.568
Share of gross domestic product,Lithuania,2019,6.803
Share of gross domestic product,Sweden,2010,8.336
Share of gross domestic product,Sweden,2011,10.446
Share of gross domestic product,Sweden,2012,10.766
Share of gross domestic product,Sweden,2013,10.945
Share of gross domestic product,Sweden,2014,10.98
Share of gross domestic product,Sweden,2015,10.828
Share of gross domestic product,Sweden,2016,10.839
Share of gross domestic product,Sweden,2017,10.795
Share of gross domestic product,Sweden,2018,10.886
Share of gross domestic product,Sweden,2019,10.882
Share of gross domestic product,Norway,2010,8.906
