Variable,Country,Year,Value
Immunisation: Measles,Italy,2000,74
Immunisation: Measles,Austria,2000,75
Immunisation: Measles,Turkey,2000,76
Immunisation: Measles,Ireland,2000,79
Immunisation: Measles,Belgium,2000,82
Immunisation: Measles,Switzerland,2000,82
Immunisation: Measles,Costa Rica,2000,82
Immunisation: Measles,France,2000,84
Immunisation: Measles,China (People's Republic of),2000,84
Immunisation: Measles,New Zealand,2000,85
Immunisation: Measles,Portugal,2000,87
Immunisation: Measles,Norway,2000,88
Immunisation: Measles,United Kingdom,2000,88
Immunisation: Measles,Colombia,2000,88
Immunisation: Measles,Greece,2000,89
Immunisation: Measles,Australia,2000,91
Immunisation: Measles,Iceland,2000,91
Immunisation: Measles,Sweden,2000,91
Immunisation: Measles,United States,2000,91
Immunisation: Measles,Germany,2000,92
Immunisation: Measles,Luxembourg,2000,93
Immunisation: Measles,Estonia,2000,93
Immunisation: Measles,Spain,2000,94
Immunisation: Measles,Korea,2000,95
Immunisation: Measles,Slovenia,2000,95
Immunisation: Measles,Canada,2000,96
Immunisation: Measles,Finland,2000,96
Immunisation: Measles,Japan,2000,96
Immunisation: Measles,Mexico,2000,96
Immunisation: Measles,Netherlands,2000,96
Immunisation: Measles,Czech Republic,2000,97
Immunisation: Measles,Poland,2000,97
Immunisation: Measles,Chile,2000,97
Immunisation: Measles,Israel,2000,97
Immunisation: Measles,Russia,2000,97
Immunisation: Measles,Lithuania,2000,97
Immunisation: Measles,Latvia,2000,97
Immunisation: Measles,Slovak Republic,2000,98
Immunisation: Measles,Denmark,2000,99
Immunisation: Measles,Brazil,2000,99
Immunisation: Measles,Hungary,2000,100
Immunisation: Measles,Ireland,2001,73
Immunisation: Measles,Italy,2001,77
Immunisation: Measles,Austria,2001,79
Immunisation: Measles,Belgium,2001,82
Immunisation: Measles,Switzerland,2001,82
Immunisation: Measles,Costa Rica,2001,82
Immunisation: Measles,Turkey,2001,84
Immunisation: Measles,France,2001,85
Immunisation: Measles,New Zealand,2001,85
Immunisation: Measles,United Kingdom,2001,85
Immunisation: Measles,China (People's Republic of),2001,85
Immunisation: Measles,Iceland,2001,88
Immunisation: Measles,Norway,2001,90
Immunisation: Measles,Portugal,2001,90
Immunisation: Measles,Greece,2001,91
Immunisation: Measles,United States,2001,91
Immunisation: Measles,Australia,2001,92
Immunisation: Measles,Colombia,2001,93
Immunisation: Measles,Denmark,2001,94
Immunisation: Measles,Germany,2001,94
Immunisation: Measles,Luxembourg,2001,94
Immunisation: Measles,Sweden,2001,94
Immunisation: Measles,Slovenia,2001,94
Immunisation: Measles,Canada,2001,95
Immunisation: Measles,Mexico,2001,95
Immunisation: Measles,Netherlands,2001,95
Immunisation: Measles,Estonia,2001,95
Immunisation: Measles,Finland,2001,96
Immunisation: Measles,Korea,2001,96
Immunisation: Measles,Spain,2001,96
Immunisation: Measles,Chile,2001,96
Immunisation: Measles,Israel,2001,96
Immunisation: Measles,Czech Republic,2001,97
Immunisation: Measles,Poland,2001,97
Immunisation: Measles,Lithuania,2001,97
Immunisation: Measles,Japan,2001,98
Immunisation: Measles,Russia,2001,98
Immunisation: Measles,Latvia,2001,98
Immunisation: Measles,Slovak Republic,2001,99
Immunisation: Measles,Brazil,2001,99
Immunisation: Measles,Hungary,2001,100
Immunisation: Measles,Ireland,2002,73
Immunisation: Measles,Austria,2002,78
Immunisation: Measles,Italy,2002,81
Immunisation: Measles,Belgium,2002,82
Immunisation: Measles,Switzerland,2002,82
Immunisation: Measles,Turkey,2002,82
Immunisation: Measles,New Zealand,2002,84
Immunisation: Measles,United Kingdom,2002,85
Immunisation: Measles,China (People's Republic of),2002,85
Immunisation: Measles,France,2002,86
Immunisation: Measles,Norway,2002,87
Immunisation: Measles,Iceland,2002,91
Immunisation: Measles,United States,2002,91
Immunisation: Measles,Germany,2002,92
Immunisation: Measles,Greece,2002,92
Immunisation: Measles,Portugal,2002,92
Immunisation: Measles,Slovenia,2002,93
Immunisation: Measles,Colombia,2002,93
Immunisation: Measles,Australia,2002,94
Immunisation: Measles,Luxembourg,2002,94
Immunisation: Measles,Costa Rica,2002,94
Immunisation: Measles,Canada,2002,95
Immunisation: Measles,Netherlands,2002,95
Immunisation: Measles,Sweden,2002,95
Immunisation: Measles,Chile,2002,95
Immunisation: Measles,Estonia,2002,95
Immunisation: Measles,Finland,2002,96
Immunisation: Measles,Mexico,2002,96
Immunisation: Measles,Brazil,2002,96
Immunisation: Measles,Korea,2002,97
Immunisation: Measles,Spain,2002,97
Immunisation: Measles,Czech Republic,2002,98
Immunisation: Measles,Japan,2002,98
Immunisation: Measles,Poland,2002,98
Immunisation: Measles,Israel,2002,98
Immunisation: Measles,Russia,2002,98
Immunisation: Measles,Lithuania,2002,98
Immunisation: Measles,Latvia,2002,98
Immunisation: Measles,Slovak Republic,2002,99
Immunisation: Measles,Hungary,2002,100
Immunisation: Measles,Denmark,2002,102
Immunisation: Measles,Turkey,2003,75
Immunisation: Measles,Ireland,2003,78
Immunisation: Measles,Austria,2003,79
Immunisation: Measles,Belgium,2003,82
Immunisation: Measles,Switzerland,2003,82
Immunisation: Measles,United Kingdom,2003,82
Immunisation: Measles,Italy,2003,84
Immunisation: Measles,New Zealand,2003,84
Immunisation: Measles,China (People's Republic of),2003,85
Immunisation: Measles,Norway,2003,86
Immunisation: Measles,France,2003,87
Immunisation: Measles,Costa Rica,2003,89
Immunisation: Measles,Colombia,2003,92
Immunisation: Measles,Iceland,2003,93
Immunisation: Measles,United States,2003,93
Immunisation: Measles,Australia,2003,94
Immunisation: Measles,Greece,2003,94
Immunisation: Measles,Slovenia,2003,94
Immunisation: Measles,Canada,2003,95
Immunisation: Measles,Germany,2003,95
Immunisation: Measles,Luxembourg,2003,95
Immunisation: Measles,Sweden,2003,95
Immunisation: Measles,Estonia,2003,95
Immunisation: Measles,Israel,2003,95
Immunisation: Measles,Denmark,2003,96
Immunisation: Measles,Korea,2003,96
Immunisation: Measles,Mexico,2003,96
Immunisation: Measles,Netherlands,2003,96
Immunisation: Measles,Portugal,2003,96
Immunisation: Measles,Chile,2003,96
Immunisation: Measles,Finland,2003,97
Immunisation: Measles,Brazil,2003,97
Immunisation: Measles,Russia,2003,97
Immunisation: Measles,Japan,2003,98
Immunisation: Measles,Poland,2003,98
Immunisation: Measles,Spain,2003,98
Immunisation: Measles,Lithuania,2003,98
Immunisation: Measles,Latvia,2003,98
Immunisation: Measles,Czech Republic,2003,99
Immunisation: Measles,Slovak Republic,2003,99
Immunisation: Measles,Hungary,2003,100
Immunisation: Measles,Austria,2004,74
Immunisation: Measles,Ireland,2004,81
Immunisation: Measles,Turkey,2004,81
Immunisation: Measles,United Kingdom,2004,81
Immunisation: Measles,Belgium,2004,82
Immunisation: Measles,Switzerland,2004,82
